job_id,month,standard_job,job_title,job_responsibility,job_requirement,skills
GEN000001,2024-12,大模型算法工程师,文本大模型算法实习生-商业信任与安全,"ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：商业化信任与安全研发团队致力于构建业界领先的智能审核系统，通过前沿 AI 技术保障商业内容安全与合规，提升用户客户的信任。团队通过研发大模型基座、先进的审核大模型和审核系统，持续提升大模型系统对复杂商业化内容的理解、让准确理解遵循安全规则、基于规则深度推理并拉齐人与机器之间的认知，并能感知发现潜在问题，并用Agent高效处理审核问题、自动迭代审核系统，为商业内容安全提供全链路、智能化的技术支撑。
1、数据工程：构建高质量数据的生产流程，其中包括预训练、指令微调等数据，提升业务应用效果；
2、算法研发：推进Knowledge Injection、SFT、RLHF等模型优化方面的工作，提高模型质量和适应性；
3、梳理&沉淀算法库：抽象算法接口，最大化提升算法成果和基座模型的复用率，提升大模型落地效率；
4、业务应用：深入研究并推进相关大模型技术的落地，包括但不限于智能审核、客服、Copilot等应用场景。","1、2027届硕士及以上学位在读，计算机相关专业优先；
2、具有优秀的代码能力和基础算法功底，熟练使用TensorFlow/PyTorch等机器学习框架和工程框架；
3、具有扎实的机器学习基础，对传统NLP技术、GPT类技术有深入的理解，数理功底扎实，自学能力强；
4、具备独立分析问题、定义问题和解决问题的能力，能深入解决大模型落地过程中存在的问题；
5、主导过大模型领域的大影响力项目或论文者优先，包括但不限于ACL、EMNLP、COLING、WWW、AAAI等。",LLM; Machine Learning; Python; DeepSpeed; LoRA微调; Megatron; PPO; SFT
GEN000002,2024-12,大模型算法工程师,Keeta技术-大模型算法工程师/专家,"1. 在国际化场景下，负责 Keeta 智能客服、智能审核、智能判责等方向的算法建设，以及对应基座模型的后训练（SFT/RLHF/DPO 等）；
2. 运用大模型、Agent、多模态及传统机器学习等算法能力，解决生成式 AI 在业务落地的关键问题，满足多语言、多模态的复杂业务场景需求，持续提升智能化覆盖率与业务运转效率；
3. 紧跟业界大模型前沿进展，深入分析新模型结构与技术范式，并快速转化为业务可用的算法能力；
4. 从业务需求中提炼通用、模块化的算法能力，加速算法迭代，提升 Keeta 开国、开城的效率；
5. 积极将 AI 辅助工具（如 Copilot、AI 实验分析工具）融入日常研发流程，推动团队以 AI 协作方式提升模型迭代效率。","1. 数学、统计、运筹学、计算机或相关专业硕士及以上学历，3年以上相关工作经验；
2. 在大模型、多模态、数据挖掘或传统深度学习领域具备独立负责项目的经验（有智能客服、审核、判责、外呼等方向经验更佳），并能在复杂业务场景中进行合理的算法选择与优化；
3. 熟悉主流大模型，掌握 SFT、RLHF、RAG 等技术；精通 Python、Java 等编程语言，熟悉 TensorFlow、PyTorch 等常用机器学习框架；具备 AI 辅助工程开发的实践经验，能利用 Copilot、AI 实验分析等工具加速模型迭代与评估，以 AI 协作方式提升研发效率；
4. 具备敏锐的业务洞察力和创新精神，对挑战性问题充满热情，能够将理论与实践相结合，主动学习并适应快速发展的业务环境；
5. 良好的英语读写能力为加分项，能够与国际团队进行有效沟通。
补充要求：具备C/C++、LLM、NLP相关实践经验者优先。",C/C++; LLM; NLP; PyTorch; 机器学习; 深度学习; TensorFlow; 计算机视觉; Megatron; RLHF; Triton
GEN000003,2025-01,大模型算法工程师,豆包大模型语音合成算法工程师-Data语音,"1、参与研发多模态模型等下一代人工智能核心技术；
2、关注和推进技术在业务场景中的广泛应用，包括但不限于语言、音乐、语音、音频的生成与理解等；
3、深入调研和关注音频/NLP/多模态等方向的前沿技术。","1、计算机科学/计算机工程/电子信息技术等相关专业；
2、有自然语言处理、语音合成与识别、音乐生成等研究或者技术背景优先；
3、有预训练技术，包括但不限于高效训练、强化学习，参与过研发音频、NLP相关的预训练模型及其下游应用者优先；
4、熟练掌握PyTorch等深度学习框架，Python编程语言；
5、发表过领域会议文章（NeurIPS、ICML、ICLR、ACL、Interspeech、ICASSP等）、相关经验或者ACM竞赛获奖者优先。",C/C++; LLM; Machine Learning; NLP; PyTorch; Python; 机器学习; 深度学习; TensorFlow; 计算机视觉; DPO; DeepSpeed; LoRA微调; Megatron; Multimodal AI; PPO; CUDA; AI基础设施; Diffusion
GEN000004,2025-02,大模型算法工程师,统一多模态大模型后训练算法研究-阿里星,"针对当前多模态大模型在后训练阶段面临的模态割裂、对齐效率低、奖励信号稀疏且场景泛化能力弱等关键挑战，本课题聚焦于构建统一的多模态大模型后训练算法体系。研究内容主要包括三个方面：
1、探索模型高效对齐的后训练算法，结合指令微调、偏好学习与知识蒸馏技术，提出低资源、高响应的对齐范式，实现模型行为与人类意图的高度契合。通过构建“奖励驱动—训练加速—对齐优化”三位一体的后训练框架，推动多模态大模型向更智能、更可靠、更可控的方向持续演进，为通用人工智能提供可复用、可扩展的算法基础设施；
2、开展超大规模强化学习（RL）训练架构优化，研究分布式训练中的梯度同步策略、样本效率提升方法与稳定收敛机制，支撑千亿级甚至万亿级参数模型在多模态环境下的高效策略优化；
3、设计面向通用场景的多模态统一奖励系统（Reward System），融合语言、视觉等多维信号，构建细粒度、可泛化的奖励函数，实现跨模态语义一致性与任务目标的联合建模。","1、计算机科学、人工智能、机器学习或相关领域的硕士或博士学位；
2、在扩散模型、自回归模型、多模态生成理解、计算机视觉、NLP、AIGC、计算机图形学、机器学习等一个或多个领域有较深入的研究；数学公式推导能力强；熟悉流式音视频处理；
3、具有出色的分析、解决问题的能力，能深入解决大模型训练、应用存在的问题，有自主探索解决方案的能力者；
4、能够积极创新， 乐于面对挑战， 负责敬业，优秀的团队合作精神，一起探索新技术，推进技术进步。
【加分项】
1、具有优秀的基础算法、扎实的机器学习基础，在相关领域国际顶级会议（ACL、EMNLP、CVPR、ICCV、NeurIPS、ICLR、AAAI 等）有高质量论文发表者优先；
2、具有优秀的代码能力，在ACM/ICPC、NOI/IOl、Top Coder、Kaggle等比赛获奖者优先；
3、在多模态、大模型、基础模型、世界模型、RL、渲染生成领域，主导过大影响力项目者优先；
4、在算法竞赛中获得优异成绩（ACM-ICPC/挑战赛TOP10等）或者顶会论文发表。
补充要求：具备C/C++、LLM、Machine Learning相关实践经验者优先。",C/C++; LLM; Machine Learning; NLP; PyTorch; Python; 机器学习; 深度学习; TensorFlow; 多模态; 计算机视觉; DPO; DeepSpeed; LoRA微调; Megatron; Multimodal AI; PPO; Diffusion模型; AI安全; Embedding; AIGC
GEN000005,2025-03,大模型算法工程师,阿里云智能-AI Data 工程师-MaaS数据-杭州,"1. 全模态数据流水线与架构建设：参与万亿级、EB级海量多模态数据（涵盖多语言文本、图像、音频、视频及 Agent 行为数据等）的采集、存储、清洗与加工。设计并实现高效率、高质量的全模态流程编排引擎及核心处理算子（Pipeline），保障海量异构数据的规模化流转与高扩展性。
2. 全模态数据自动化标注：能够结合深度学习与多模态大模型技术，研发并落地智能化的数据处理策略。利用算法模型进行跨模态特征提取与对齐、低质量噪声数据过滤、复杂场景下的异常数据拦截与高价值数据挖掘，大幅提升数据处理的自动化水平与数据质量。
3. 多模态数据对齐、评估与合成：主导大规模“图-文”、“视-文”、“音-文”等多模态对齐数据的规模化生产，尤其是在稀缺数据领域，探索并落地智能标注与前沿的数据合成（Data Synthesis）技术。与算法团队紧密合作，深度参与多模态大模型SFT及对齐阶段的高质量数据集构建、配比调优与评测，并通过评测结果反向持续优化语料质量。
4. 数据资产化与科学分析：主导AI应用的全流程数据仓库与数据分析研发工作，包括数据同步、数据建模、数据计算、数据挖掘分析与数据可视化；构建高扩展性、高一致性、高业务价值的AI应用核心数据资产体系，确保指标准确、及时与可追溯
5. 关注数据处理领域的新技术、新工具和新方法，积极参与技术分享和团队内部培训，推动团队的技术升级和创新。
补充职责：结合业务场景推进C/C++、LLM、Machine Learning相关能力建设与落地。","1. 熟练掌握java、python、sql中一种或多种数据处理语言等，具备良好的编程习惯与工程能力；熟悉 Linux/Unix 环境及常用 Shell 操作；
2.  熟悉主流大数据平台（如 Hadoop、Spark、Flink、MaxCompute 等），有数据清洗、ETL开发、数据建模或数据仓库建设经验者优先；
3. 具备机器学习与深度学习算法基础，有使用主流大语言模型及多模态模型处理数据的经验；
4. 学历背景：本科及以上学历，计算机、数学、统计等相关专业优先。",C/C++; LLM; Machine Learning; NLP; PyTorch; Python; 机器学习; 深度学习; TensorFlow; 多模态; 计算机视觉; DPO; DeepSpeed; LoRA微调; Megatron; Multimodal AI; PPO; SGLang
GEN000006,2025-04,大模型算法工程师,基座大模型研究分析实习生,"负责LLM大模型评测算法的研究以及评测模型的训练、优化，具体工作内容包括但不限于：
1. 深入理解大规模语言模型的模型结构、训练过程以及评测方案，根据模型的训练过程以及评测结果，对大语言模型存在的问题和评测存在的问题进行研究，根据研究结果进行优化落地。
2. 深入分析模型评测结果中不符合认知的异常，根据具体的异常制定完善的研究策略，通过对比、归纳等方法，产出研究分析结论，指导模型训练优化。
3. 构建Data-Centric的数据-训练-评测闭环，探索研究大模型的数据、模型结构、评测策略、评测数据等对模型评测效果的影响，得出有效认知，指导模型训练和评测方案的建设。
4. 追踪大模型方向的前沿进展，积极主动地学习和探索新数据分析、模型训练以及模型评测方法。
5. 与各相关部门保持良好沟通，深度参与大模型预训练、SFT、RLHF和评测等阶段，共同推动大模型持续优化。","1. 硕士及以上学历，计算机、数学、统计学或相关专业；
2. 熟悉Java/Python/C++等编程语言，良好的编码习惯和一定的工程能力
3. 具有机器学习或深度学习算法的基础知识，熟练掌握自然语言处理、多模态或大模型相关算法和模型；
4. 良好的沟通能力、团队合作精神以及较强的问题解决能力。
5. 对每一行代码负责，对业务方负责，具备工匠精神。
补充要求：具备C/C++、LLM、Machine Learning相关实践经验者优先。",C/C++; LLM; Machine Learning; TensorFlow; 计算机视觉; DPO; DeepSpeed; GRPO; LoRA微调; Multimodal AI
GEN000007,2025-04,大模型算法工程师,大模型性能优化算法专家,"1、负责LLM和Diffusion Model的性能优化，基于TensorRT和模型量化剪枝等技术，以及CUDA算子融合重构等性能优化方案，结合业务需求将GPU性能发挥到极致；
2. 负责端云架构下的大模型整体推理优化算法方案研发，通过与算法效果团队深度合作实现云端和设备端算法模块与全系统架构的全面性能优化","1、硕士及以上学历，计算机/电子/自动化/软件等相关专业，有AI大模型工程优化经验的优先；
2、精通C/C++ 及 Python，熟练掌握各类数据结构及相关基础算法;
3、精通GPU的高性能计算优化技术，深入理解计算机体系结构，熟悉并行计算优化、访存优化，低比特计算等；
4、具备丰富的基于CUDA的GPU性能优化经验，同时具备设备端CPU/GPU推理加速经验更佳；
5、了解深度学习算法基本原理，熟悉神经网络基本架构和各算子计算方式，了解至少一种深度学习训练框架和推理加速框架，包括Pytorch、TensorRT、TensorRT-LLM、VLLM等；
6、了解主流LLM、Diffusion Model，有LLM、Diffusion Model加速优化经验者优先。",NLP; PyTorch; Python; 机器学习; 深度学习; 多模态; GRPO; Megatron; PPO
GEN000008,2025-05,大模型算法工程师,（可灵AI专项）大模型算法加速/优化实习生,"1、diffusion步数蒸馏和CFG蒸馏：
1）跟进学术界最前沿的 few-steps diffusion 算法, 探索研发 one-step / few-steps 的无损蒸馏算法,  包括但不限于 consistency modeling、shortcut、score distillation等方案, 打造实时化的极致高效视频/图像大模型；
2）研究 DPO/GRPO/PPO 等强化学习的手段在少步模型下的新训练算法,  摸索强化学习与压缩算法的化学反应, 推动效果-效率的帕雷托前沿新SOTA；
2、transformer模型架构优化：
1）跟进学术界高效attn 计算成果(包括但不限于: sparse-attn, linear-attn 等), 探索研究视频模态下较full-attn 的无损高效attn方案；
2）量化后训练: 探索极低bit 的量化训练(QAT), 特别是针对FP8/FP4 的无损量化加速。","1、硕士及以上学历，数学、计算机、自动化等专业优先；
2、熟练掌握diffusion原理, 具备公式推理和证明的能力, 有过相关的研究经历和实践经验者优化；
3、熟悉transformer结构及其变种, 熟悉attention的设计和多种变种实现, 掌握triton；
4、数理要求: 熟练掌握线性线数、概率论、信息论、凸优化等基础知识，了解矩阵论、随机过程等；
5、有较强的自驱力和学习力，对生成式模型有强烈的兴趣。",C/C++; Machine Learning; PyTorch; 机器学习; 深度学习; TensorFlow; LoRA微调; DPO; Multimodal AI
GEN000009,2025-05,大模型算法工程师,大模型算法实习生-财经业务,"ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：财经业务依托抖音集团的流量优势和领先的基础技术能力，通过“抖音支付”“抖音月付”“放心借”以及退货运费险等产品，为广大个人用户、企业和机构提供支付、消费金融和保险经纪等金融科技服务。
1、建设金融领域的顶尖AI应用，包括金融智能助手、智能客服、智能语音对话、数据智能决策等基于Agent框架和实时语音对话框架的LLM应用，支持支付、消金、理财、保险等场景的用户对话需求；
2、对话Agent系统的建设，包括对话生成模型的Continue pretrain和Post-training，解决对话场景中的历史对话记忆、个性化回答生成、幻觉问题、自主action决策、RAG准确性、LLM对系统状态的理解、对话知识库挖掘等核心技术挑战；
3、实时语音对话系统的建设，探索端到端文本生成模型、端到端语音生成模型、领域知识注入模型、基于对话引导效果的强化学习等；
4、负责业务场景的算法方案设计、模型训练、模型部署、数据挖掘等全流程工作，同时在核心技术问题上探索业内前沿的解决方案，挑战state-of-art。","1、2027届本科及以上学历在读，金融、计算机等相关专业优先；
2、优秀的代码能力，掌握常见编程语言和算法，熟悉PyTorch或TF等机器学习编程框架；
3、在大模型、RAG、智能对话或搜索等方向要求有丰富的实践经验，在ACL/EMNLP/SIGIR/WWW等顶级期刊会议上发表论文者优先；
4、有大模型训练和微调经验的同学优先；
5、出色的问题分析和解决能力，有自主探索解决方案的能力；良好的沟通协作能力，能和团队一起探索新技术，推进技术进步；
6、出色的心理素质与应变能力，面对困难勇于迎接挑战；面对复杂局面沉着、冷静、灵活。",LLM; NLP; Python; 多模态; 计算机视觉; DeepSpeed; Megatron; PPO; GRPO
GEN000010,2025-06,大模型算法工程师,多模态大模型应用研究员（多媒体方向）-视频与边缘,"1、支持研发基于大模型的多媒体算法，包括但是不限于视频理解，质量评价、视频处理和增强以及视频压缩；
2、支持多模态大模型相关算法的性能优化以及加速；
3、支持多模态大模型的算法在多媒体业务中落地，在图文、点播、直播等业务中发掘应用场景；
4、支持多模态大模型相关的前沿学术研究，在国际顶级会议与期刊中发表成果。
补充职责：结合业务场景推进C/C++、LLM、PyTorch相关能力建设与落地。","1、熟悉Diffusion、LLM等大模型相关算法和技术，熟悉大模型训练与调优，并且有实际应用的经验；
2、熟悉计算机视觉（CV）相关的算法和技术，熟悉GAN、VAE、Diffusion等视觉AIGC算法；
3、有自然语言处理（NLP）和强化学习（RL）算法经验者优先，熟悉Transformer、BERT、GPT等常用模型结构；
4、在大模型领域，有主导过具有重要影响力的项目或发表过顶级相关论文（NerulPS、ICLR、ICML等）优先。",C/C++; LLM; PyTorch; Python; 深度学习; 多模态; LoRA微调; Megatron; DeepSpeed
