skill,kg_display_skill,skill_type,confirmation_min_job_mentions,first_seen_month,first_seen_standard_jobs,first_seen_job_count,is_left_censored,migration_confidence,migration_interpretation,latest_seen_month,latest_covered_job_count,cumulative_covered_job_count,spread_job_count,spread_standard_jobs,all_standard_jobs,confirmed_first_seen_month,confirmed_first_seen_standard_jobs,confirmed_first_seen_job_count,confirmed_cumulative_covered_job_count,confirmed_spread_job_count,confirmed_spread_standard_jobs,confirmed_migration_path,peak_monthly_covered_job_count,peak_monthly_covered_job_month,total_skill_mentions,migration_path,updated_at
AIGC,AI,new,2,2024-12,AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师,3,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,8,11,8,AI产品经理; 大模型算法工程师; 音视频工程师; 大模型应用工程师; 解决方案工程师; 前端开发工程师; 后端开发工程师; 测试开发工程师,AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师; AI产品经理; 大模型算法工程师; 音视频工程师; 大模型应用工程师; 解决方案工程师; 前端开发工程师; 后端开发工程师; 测试开发工程师,2024-12,AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师,3,9,6,AI产品经理; 音视频工程师; 解决方案工程师; 前端开发工程师; 大模型算法工程师; 测试开发工程师,2024-12: AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师 -> 2025-01: AI产品经理 -> 2025-02: 音视频工程师 -> 2025-07: 解决方案工程师 -> 2026-01: 前端开发工程师 -> 2026-04: 大模型算法工程师; 测试开发工程师,9,2026-04,1302,2024-12: AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师 -> 2025-01: AI产品经理 -> 2025-02: 大模型算法工程师; 音视频工程师 -> 2025-05: 大模型应用工程师 -> 2025-07: 解决方案工程师 -> 2025-08: 前端开发工程师 -> 2026-02: 后端开发工程师; 测试开发工程师,2026-08-08T05:14:20+00:00
AIops,系统与运维,new,2,2024-12,C++开发工程师; 信息安全工程师; 数据库工程师; 运维工程师,4,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,3,9,5,算法工程师; 网络工程师; Android开发工程师; 测试开发工程师; 客户端开发工程师,C++开发工程师; 信息安全工程师; 数据库工程师; 运维工程师; 算法工程师; 网络工程师; Android开发工程师; 测试开发工程师; 客户端开发工程师,2024-12,运维工程师,1,7,6,C++开发工程师; 信息安全工程师; 数据库工程师; 网络工程师; Android开发工程师; 测试开发工程师,2024-12: 运维工程师 -> 2025-01: C++开发工程师; 信息安全工程师; 数据库工程师 -> 2025-03: 网络工程师 -> 2025-05: Android开发工程师 -> 2025-10: 测试开发工程师,7,2025-05,290,2024-12: C++开发工程师; 信息安全工程师; 数据库工程师; 运维工程师 -> 2025-01: 算法工程师; 网络工程师 -> 2025-05: Android开发工程师; 测试开发工程师 -> 2026-03: 客户端开发工程师,2026-08-08T05:14:20+00:00
AI基础设施,AI,new,2,2024-12,AI Infra工程师; 系统软件工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,5,8,6,大模型算法工程师; DevOps工程师; 云计算工程师; 后端开发工程师; 软件架构师; 解决方案工程师,AI Infra工程师; 系统软件工程师; 大模型算法工程师; DevOps工程师; 云计算工程师; 后端开发工程师; 软件架构师; 解决方案工程师,2024-12,AI Infra工程师; 系统软件工程师,2,7,5,DevOps工程师; 云计算工程师; 大模型算法工程师; 软件架构师; 解决方案工程师,2024-12: AI Infra工程师; 系统软件工程师 -> 2025-02: DevOps工程师; 云计算工程师; 大模型算法工程师 -> 2025-10: 软件架构师 -> 2026-05: 解决方案工程师,6,2026-05,831,2024-12: AI Infra工程师; 系统软件工程师 -> 2025-01: 大模型算法工程师 -> 2025-02: DevOps工程师; 云计算工程师 -> 2025-07: 后端开发工程师 -> 2025-08: 软件架构师 -> 2026-02: 解决方案工程师,2026-08-08T05:14:20+00:00
AI安全,安全,new,2,2024-12,AI安全工程师; 大模型测试工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,5,8,6,信息安全工程师; 大模型算法工程师; 网络安全工程师; AI产品经理; AI Agent算法工程师; 解决方案工程师,AI安全工程师; 大模型测试工程师; 信息安全工程师; 大模型算法工程师; 网络安全工程师; AI产品经理; AI Agent算法工程师; 解决方案工程师,2024-12,AI安全工程师; 大模型测试工程师,2,7,5,信息安全工程师; 网络安全工程师; AI产品经理; 大模型算法工程师; AI Agent算法工程师,2024-12: AI安全工程师; 大模型测试工程师 -> 2025-01: 信息安全工程师 -> 2025-02: 网络安全工程师 -> 2025-05: AI产品经理 -> 2025-07: 大模型算法工程师 -> 2026-04: AI Agent算法工程师,7,2026-06,1166,2024-12: AI安全工程师; 大模型测试工程师 -> 2025-01: 信息安全工程师 -> 2025-02: 大模型算法工程师; 网络安全工程师 -> 2025-05: AI产品经理 -> 2025-06: AI Agent算法工程师 -> 2025-11: 解决方案工程师,2026-08-08T05:14:20+00:00
AI工作流设计,AI,new,2,2025-01,AI Agent应用工程师; 大模型应用工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,5,9,7,AI产品经理; 软件架构师; 全栈开发工程师; 后端开发工程师; 测试开发工程师; 解决方案工程师; 前端开发工程师,AI Agent应用工程师; 大模型应用工程师; AI产品经理; 软件架构师; 全栈开发工程师; 后端开发工程师; 测试开发工程师; 解决方案工程师; 前端开发工程师,2025-01,AI Agent应用工程师; 大模型应用工程师,2,7,5,AI产品经理; 软件架构师; 全栈开发工程师; 测试开发工程师; 解决方案工程师,2025-01: AI Agent应用工程师; 大模型应用工程师 -> 2025-03: AI产品经理; 软件架构师 -> 2025-07: 全栈开发工程师 -> 2025-08: 测试开发工程师 -> 2026-06: 解决方案工程师,6,2026-06,860,2025-01: AI Agent应用工程师; 大模型应用工程师 -> 2025-03: AI产品经理; 软件架构师 -> 2025-07: 全栈开发工程师; 后端开发工程师 -> 2025-08: 测试开发工程师 -> 2026-01: 解决方案工程师 -> 2026-02: 前端开发工程师,2026-08-08T05:14:20+00:00
AI工具,大模型,new,2,2024-12,AI产品经理; 芯片设计工程师; 质量工程师; 驱动开发工程师,4,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,3,13,9,网络安全工程师; Android开发工程师; 嵌入式软件工程师; 芯片验证工程师; 软件开发工程师; Java开发工程师; 风控算法工程师; 运维工程师; 客户端开发工程师,AI产品经理; 芯片设计工程师; 质量工程师; 驱动开发工程师; 网络安全工程师; Android开发工程师; 嵌入式软件工程师; 芯片验证工程师; 软件开发工程师; Java开发工程师; 风控算法工程师; 运维工程师; 客户端开发工程师,2024-12,AI产品经理; 质量工程师,2,10,8,网络安全工程师; 芯片设计工程师; 驱动开发工程师; 嵌入式软件工程师; 芯片验证工程师; Android开发工程师; 软件开发工程师; 风控算法工程师,2024-12: AI产品经理; 质量工程师 -> 2025-01: 网络安全工程师; 芯片设计工程师; 驱动开发工程师 -> 2025-04: 嵌入式软件工程师; 芯片验证工程师 -> 2025-07: Android开发工程师 -> 2026-02: 软件开发工程师 -> 2026-04: 风控算法工程师,7,2026-04,154,2024-12: AI产品经理; 芯片设计工程师; 质量工程师; 驱动开发工程师 -> 2025-01: 网络安全工程师 -> 2025-02: Android开发工程师; 嵌入式软件工程师 -> 2025-03: 芯片验证工程师 -> 2025-06: 软件开发工程师 -> 2025-10: Java开发工程师 -> 2025-11: 风控算法工程师 -> 2026-03: 运维工程师 -> 2026-04: 客户端开发工程师,2026-08-08T05:14:20+00:00
AI应用开发,AI,new,2,2024-12,AI应用工程师; 大模型应用工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,6,10,8,后端开发工程师; AI Agent应用工程师; 软件开发工程师; AI产品经理; 前端开发工程师; 全栈开发工程师; 测试开发工程师; 解决方案工程师,AI应用工程师; 大模型应用工程师; 后端开发工程师; AI Agent应用工程师; 软件开发工程师; AI产品经理; 前端开发工程师; 全栈开发工程师; 测试开发工程师; 解决方案工程师,2024-12,AI应用工程师; 大模型应用工程师,2,10,8,软件开发工程师; 后端开发工程师; AI产品经理; 全栈开发工程师; 前端开发工程师; AI Agent应用工程师; 解决方案工程师; 测试开发工程师,2024-12: AI应用工程师; 大模型应用工程师 -> 2025-04: 软件开发工程师 -> 2025-05: 后端开发工程师 -> 2025-06: AI产品经理 -> 2025-08: 全栈开发工程师 -> 2025-11: 前端开发工程师 -> 2025-12: AI Agent应用工程师 -> 2026-05: 解决方案工程师 -> 2026-06: 测试开发工程师,6,2026-07,705,2024-12: AI应用工程师; 大模型应用工程师 -> 2025-01: 后端开发工程师 -> 2025-02: AI Agent应用工程师; 软件开发工程师 -> 2025-06: AI产品经理 -> 2025-07: 前端开发工程师 -> 2025-08: 全栈开发工程师 -> 2026-01: 测试开发工程师 -> 2026-02: 解决方案工程师,2026-08-08T05:14:20+00:00
AI测试,AI,new,2,2025-01,大模型测试工程师; 测试开发工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,7,9,7,AI安全工程师; 大模型应用工程师; 测试工程师; 质量工程师; AI产品经理; 解决方案工程师; 后端开发工程师,大模型测试工程师; 测试开发工程师; AI安全工程师; 大模型应用工程师; 测试工程师; 质量工程师; AI产品经理; 解决方案工程师; 后端开发工程师,2025-01,大模型测试工程师; 测试开发工程师,2,8,6,AI安全工程师; 测试工程师; 质量工程师; 大模型应用工程师; AI产品经理; 解决方案工程师,2025-01: 大模型测试工程师; 测试开发工程师 -> 2025-02: AI安全工程师 -> 2025-06: 测试工程师; 质量工程师 -> 2025-07: 大模型应用工程师 -> 2025-08: AI产品经理 -> 2026-02: 解决方案工程师,8,2026-03,1125,2025-01: 大模型测试工程师; 测试开发工程师 -> 2025-02: AI安全工程师; 大模型应用工程师 -> 2025-06: 测试工程师; 质量工程师 -> 2025-08: AI产品经理 -> 2026-02: 解决方案工程师 -> 2026-03: 后端开发工程师,2026-08-08T05:14:20+00:00
AI算法,AI,new,2,2024-12,AI产品经理; 数据分析师; 芯片验证工程师; 解决方案工程师,4,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,9,14,10,C++开发工程师; iOS开发工程师; 技术支持工程师; 硬件工程师; 驱动开发工程师; 测试工程师; 计算机视觉算法工程师; Java开发工程师; 芯片设计工程师; Android开发工程师,AI产品经理; 数据分析师; 芯片验证工程师; 解决方案工程师; C++开发工程师; iOS开发工程师; 技术支持工程师; 硬件工程师; 驱动开发工程师; 测试工程师; 计算机视觉算法工程师; Java开发工程师; 芯片设计工程师; Android开发工程师,2024-12,AI产品经理; 数据分析师; 解决方案工程师,3,14,11,芯片验证工程师; 硬件工程师; 驱动开发工程师; iOS开发工程师; C++开发工程师; 技术支持工程师; 测试工程师; Java开发工程师; Android开发工程师; 芯片设计工程师; 计算机视觉算法工程师,2024-12: AI产品经理; 数据分析师; 解决方案工程师 -> 2025-01: 芯片验证工程师 -> 2025-02: 硬件工程师; 驱动开发工程师 -> 2025-03: iOS开发工程师 -> 2025-04: C++开发工程师; 技术支持工程师 -> 2025-05: 测试工程师 -> 2025-10: Java开发工程师 -> 2025-12: Android开发工程师; 芯片设计工程师 -> 2026-07: 计算机视觉算法工程师,10,2025-12,420,2024-12: AI产品经理; 数据分析师; 芯片验证工程师; 解决方案工程师 -> 2025-01: C++开发工程师; iOS开发工程师; 技术支持工程师; 硬件工程师; 驱动开发工程师 -> 2025-04: 测试工程师 -> 2025-08: 计算机视觉算法工程师 -> 2025-09: Java开发工程师; 芯片设计工程师 -> 2025-11: Android开发工程师,2026-08-08T05:14:20+00:00
AI芯片,硬件与芯片,new,2,2024-12,技术支持工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,2,3,2,C++开发工程师; 硬件工程师,技术支持工程师; C++开发工程师; 硬件工程师,2024-12,技术支持工程师,1,3,2,C++开发工程师; 硬件工程师,2024-12: 技术支持工程师 -> 2025-01: C++开发工程师; 硬件工程师,3,2025-12,139,2024-12: 技术支持工程师 -> 2025-01: C++开发工程师; 硬件工程师,2026-08-08T05:14:20+00:00
