skill_keyword,normalized_skill,kg_display_skill,技能类型
Agent,Agent,Agent,新兴技能
AI Agent,Agent,Agent,新兴技能
Claude Code,Agent,大模型,新兴技能
Codex,Agent,大模型,新兴技能
AI工具,AI工具,大模型,新兴技能
ASR,ASR,大模型,新兴技能
会议转写,ASR,大模型,新兴技能
录音转写,ASR,大模型,新兴技能
流式ASR,ASR,大模型,新兴技能
语音识别,ASR,大模型,新兴技能
语音识别工具,ASR,大模型,新兴技能
语音识别测试,ASR,大模型,新兴技能
语音识别解码器,ASR,大模型,新兴技能
语音转文字,ASR,大模型,新兴技能
Attention机制,Attention机制,大模型,新兴技能
交叉注意力,Attention机制,大模型,新兴技能
注意力优化,Attention机制,大模型,新兴技能
注意力分析,Attention机制,大模型,新兴技能
注意力机制,Attention机制,大模型,新兴技能
注意力机制优化,Attention机制,大模型,新兴技能
自注意力机制,Attention机制,大模型,新兴技能
AutoGen,AutoGen,大模型,新兴技能
Context Engineering,Context Engineering,大模型,新兴技能
DeepSpeed,DeepSpeed,大模型,新兴技能
Diffusion,Diffusion,大模型,新兴技能
Diffusion模型,Diffusion模型,大模型,新兴技能
扩散模型,Diffusion模型,大模型,新兴技能
扩散模型优化,Diffusion模型,大模型,新兴技能
扩散模型推理,Diffusion模型,大模型,新兴技能
扩散模型训练,Diffusion模型,大模型,新兴技能
扩散模型调优,Diffusion模型,大模型,新兴技能
扩散音频处理,Diffusion模型,大模型,新兴技能
DPO,DPO,大模型,新兴技能
Embedding,Embedding,大模型,新兴技能
Function Calling,Agent,Agent,新兴技能
GRPO,GRPO,大模型,新兴技能
LangChain,LangChain,AI,新兴技能
LangGraph,LangGraph,大模型,新兴技能
LLM,LLM,大模型,新兴技能
GPT,LLM,大模型,新兴技能
Qwen,LLM,大模型,新兴技能
千亿参数模型,LLM,大模型,新兴技能
千问,LLM,大模型,新兴技能
单模态LLM,LLM,大模型,新兴技能
单模态LLM训练,LLM,大模型,新兴技能
基座增强,LLM,大模型,新兴技能
基座大模型,LLM,大模型,新兴技能
基座模型,LLM,大模型,新兴技能
基础模型,LLM,大模型,新兴技能
基础模型研发,LLM,大模型,新兴技能
基础模型评测,LLM,大模型,新兴技能
大模型,LLM,大模型,新兴技能
大语言模型,LLM,大模型,新兴技能
文心,LLM,大模型,新兴技能
文心API,LLM,大模型,新兴技能
文心一言,LLM,大模型,新兴技能
智谱清言,LLM,大模型,新兴技能
联想模型,LLM,大模型,新兴技能
自回归模型,LLM,大模型,新兴技能
自回归理解模型,LLM,大模型,新兴技能
自回归生成,LLM,大模型,新兴技能
