source_job_title,jd_text,gold_standard_job,gold_skills
软件开发,"岗位职责：
1. 负责核心业务系统的软件开发与迭代，基于业务需求完成模块设计、编码实现与性能优化，保障系统稳定高效运行；
2. 参与技术方案设计与评审，推动代码规范与工程实践落地，提升团队开发效率与代码质量；
3. 跟踪行业前沿技术趋势，结合业务场景进行技术预研与创新，推动技术成果在项目中应用；
4. 与产品、测试及运营团队紧密协作，确保项目高质量交付，支持业务快速发展；
5. 负责相关技术文档编写与知识沉淀，协助团队新人培养与技术分享，提升团队整体能力。

任职要求：
1. 教育背景
学历要求：本科及以上学历，计算机科学、软件工程、电子信息、自动化等相关专业；
2. 工作经验
具备3-5年软件开发相关工作经验，有完整项目开发与迭代经验，熟悉软件研发全流程；
3. 能力要求
技术能力：熟练掌握Java、Python、C++等至少一门主流编程语言，具备扎实的数据结构与算法基础；熟悉常用设计模式、开发框架及数据库技术；具备良好的系统设计能力，能够独立完成模块设计与开发；有内容推荐、内容生态或平台化产品研发经验者优先；
业务理解：能够理解业务需求，将业务目标转化为可行的技术方案，并推动落地实施；
4. 基本素质
团队协作：具备良好的沟通能力和团队合作精神，能够与产品、测试、运营等多方高效协同；
问题解决：具备独立分析和解决问题的能力，能快速定位并解决技术难题；
责任心：工作认真负责，有强烈的责任心和自驱力，能承受一定的工作压力；
学习能力：具备较强的学习能力和技术热情，能持续跟进并应用新技术。
符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",软件开发工程师,Java; Python; C++; 开发框架; 数据库; 内容推荐; 性能优化
测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,"岗位职责：
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok直播研发团队，旨在实现TikTok直播业务的研发工作，搭建及维护业界领先的产品。
加入我们，你能接触到包括：社交互动、营收活动、主播生态、消费订阅、游戏直播、公会&运营平台等核心业务场景，支持产品在全球赛道上高速发展；
也能接触到包括服务架构、大模型算法、基础技术等方向上的技术挑战，保障业务持续高质量、高效率、且安全地为用户服务；同时还能为不同业务场景提供全面的技术解决方案，优化各项产品指标及用户体验。 
在这里， 有大牛带队与大家一同不断探索前沿， 突破想象空间。 
在这里，你的每一行代码都将服务亿万用户。
在这里，团队专业且纯粹，合作氛围平等且轻松。
目前在北京，上海，杭州、广州、深圳分别开放多个岗位机会。

1、负责TikTok直播公会平台和运营平台相关产品的质量保障工作；
2、参与从需求到上线全流程的质量保障，确保项目按时高质量的交付；
3、根据业务特点和项目需要，参与并推动系统的可测性建设，设计开发相关测试脚本和工具；
4、能够运用质量相关的流程、工具和平台，提升研发和测试的质量和效率；
5、建设TikTok直播数据业务的质量保障体系，并结合业务及团队情况稳步推进。

任职要求：
1、本科及以上学历，计算机相关专业，3年以上服务端测试开发相关工作经验；
2、熟悉Go/Python/Java等至少一门语言，熟悉Hadoop、Spark、Hive等常用大数据技术；
3、对数据敏感，具体有良好的逻辑思维能力、分析能力、理解业务的能力；
4、责任心和自驱力强，擅长从全局视角思考问题，具备用户思维和服务意识，擅长跨部门沟通。",测试开发工程师,服务端测试开发; Go; Python; Java; Hadoop; Spark; Hive; 大数据技术
高级后端开发工程师（互动业务）-TikTok社交,"岗位职责：
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok社交团队业务覆盖国际化短视频产品内所有社交场景,包括评论、点赞、通知,以及多种创新社交场景，对增加用户活跃度和用户粘性有着至关重要的作用。
在这里，有大牛带队与大家一同不断探索前沿,突破想象空间。
在这里，你的每一行代码都将服务亿万用户。
在这里，团队人专业且纯粹,合作氛围平等且轻松。

1、架构演进优化：持续优化高并发场景下的分布式系统架构，深入解决性能瓶颈，从容应对百万级并发流量，全面提升吞吐、延迟及稳定性等核心指标；
2、全球化架构支撑：设计和落地支持全球化业务的多活架构，解决多数据中心的数据同步、数据一致性、异地容灾等问题；
3、复杂问题攻关：主导解决海量数据存储与计算、复杂服务链路治理，以及极端业务场景下的高可用保障等核心技术痛点；
4、AI新范式探索：紧跟AI技术趋势，探索并落地AI在研发提效中的新范式，驱动架构演进与产品创新。

任职要求：
1、本科及以上学历，计算机或相关专业，两年及以上的服务端开发经验；
2、具备面向海量用户的后端服务开发经验，精通Go/Java/C++/Python至少一门语言；
3、深入理解计算机体系结构、数据结构与算法；
4、优秀的沟通协作能力和自驱力，愿意在快速变化的AI领域中持续学习与探索。",后端开发工程师,Go; Java; C++; Python; 后端服务; 计算机体系结构; 分布式系统; AI
短视频推荐算法工程师-推送方向,"岗位职责：
团队介绍
短视频推送算法团队负责整个短视频的站内、站外以及消息页的消息发送策略与算法，是带来活跃用户增长最大的团队之一。在每天，我们有数以千万计的用户通过推送消息打开短视频首页，并获取到他们感兴趣、有价值的内容，重拾对短视频的兴趣。而你的技术产出，将有机会直接触达数亿用户，创造巨大的价值。我们以打造世界领先的推送系统为目标，深耕最前沿的推送技术，为用户在最恰当的时机提供最合适的推送内容，也为短视频创造更坚实的用户基础与长期价值。

职位介绍：
1、优化推送发送时机策略与模型。基于Reinforcement Learning、深度时序模型等提升系统择时&择频的能力，提升用户体验与相关指标；
2、应用主流和前沿的机器学习模型，如DeepFM, Uplift model, Deep Retrival, DIN等，进行召回&粗排&精排模型优化，包括模型结构优化、特征工程以及模型性能优化等；
3、基于海量数据搭建业内领先的推送模型、策略和架构，建模用户兴趣，提升用户体验；
4、负责业务场景中的某个模块，如社交推送、直播推送、热点推送等，与产品、运营团队一起，对模块的未来发展进行规划和设计，制定推送&推荐策略的目标；
5、进行推送内容创意的优化，包括自动生成&选择最优的文案内容、图片等素材，自动文案审核等工作；
6、通过推送的方式助力业务增长，相关业务包括社交、直播、热点、UserGrowth等。独立负责业务场景中的某个模块，与产品、运营团队一起，对模块的未来发展进行规划和设计，制定推送&推荐策略的目标；
7、技术方向：发送时机策略与模型、内容召回，排序与聚合、内容创意增长，利用海量数据搭建业内领先的机器学习算法和架构，建模用户兴趣，提升用户体验。

任职要求：
1、具备优秀的编码能力，扎实的数据结构和算法功底；
2、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
3、对技术有热情，有良好的沟通表达能力和团队精神；
4、熟悉机器学习基础理论和常用模型算法，对推送&推荐系统、计算广告、搜索引擎等相关领域有经验者优先。",推荐算法工程师,机器学习; 推荐系统; 搜索引擎; 推送推荐; 模型性能优化; 模型结构优化;
语音算法实习生-飞书AI,"岗位职责：
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：Intelligence and Innovation团队，是飞书部门内部负责做算法创新与实践的部门，深耕于ToB办公场景的LLM应用相关的前沿技术探索与落地。既通过ASR、大模型文本总结、智能函数、多模态等AI中台能力的建设来支持飞书内外语音识别、会议纪要生成、智能表格公式等各类AI产品，同时也负责了企业AI搜索与知识管理等业务的落地和推广，团队目标是将飞书打造为AI与人高效协作的下一代智能平台，实现 “有效率、有方法、有结果” 的产品愿景。

1、协助算法研发工作：
1）协助进行语音识别（ASR）算法的优化与测试，参与高精度语音处理系统的迭代；
2）支持语种识别（LID）、说话人分离（SSD）、声纹（SID）等技术的研发落地，参与数据处理与实验验证；
3）学习Whisper/FunASR/3D-Speaker等开源项目，结合业务场景参与技术改进方案讨论；
2、参与技术落地实践：
1）参与会议转录、实时字幕等ToB办公场景的语音算法应用测试；
2）协助优化语音模型推理性能，收集并分析模型部署中的问题；
3）参与语音领域数据集整理与评测体系搭建；
3、支持团队协作工作：
1）配合产品团队进行需求分析，整理技术实现思路；
2）协助工程团队完成模型部署测试，记录并反馈落地过程中的技术问题。

任职要求：
1、本科及以上学历在读，语音信号处理、声学、计算机、人工智能等相关专业优先；
2、掌握Python及基础AI工具（NumPy等），了解PyTorch/TensorFlow等深度学习框架；
3、具备语音信号处理基础，了解ASR基本原理（前端处理/特征提取等）；
4、对语音算法有浓厚兴趣，愿意学习前沿技术，具备良好的逻辑思维能力；
5、具备一定的问题分析能力，能积极沟通并推进问题解决；
6、每周可实习4天及以上，实习周期3个月及以上。

加分项：
1、有语音相关算法项目经验或开源项目贡献经历；
2、了解CUDA编程或TensorRT等推理加速工具；
3、阅读过语音领域顶会（ICASSP/INTERSPEECH）论文；
4、具备多语种语音处理相关学习或实践经历。",语音算法工程师,Python; NumPy; PyTorch; TensorFlow; LLM; 语音信号处理; ASR; 特征提取; CUDA; TensorRT; 多语种语音处理
阿里国际-高级AI 应用开发工程师（CIO）-杭州,"岗位职责：
团队描述：
AIDC CIO 团队聚焦阿里国际企业内部经营链路的 AI 智能化升级，业务涵盖企业财务、税务、法务、生态用工管理及IT Infra等领域，支撑AIDC全球业务稳健运行，我们重点投入企业经营智能化 Enterprise Agent 技术研发，驱动财税法，IT等链路的AI智能化重构，在这里，你将直面全球化企业经营中最具挑战的业务复杂度，通过 AI Agent 与平台化技术重塑合规与效能。置身于最真实的“企业级AI”落地前沿，在解决全球化命题的过程中，实现技术实力与全局视野的快速迭代。

岗位描述：
1. 面向阿里国际多元经营场景，构建高性能 Enterprise Agent。推进财税法、IT、生态用工和企业员工 AI 办公协同等领域的智能化升级，解决全球化经营中的复杂决策问题。通过技术创新驱动业务变革，打造行业领先的企业级 AI应用范式。
2. 智能财税：构建企业级财务AI Agent能力，聚焦智能财税处理、合规风险管控、复杂决策辅助及业务流程自动化核心能力，驱动财税法经营链路与AI深度重构，打造业界领先的财务AI能力。
3. 企业服务：构建全链路企业服务 Agent 矩阵，围绕法务流程自动化、AI 辅助审核起草、RAG 智能咨询及生态用工效能评估，驱动专业服务效能跃迁与合规风险闭环，定义全球化经营下的数智化服务标准。
4. AI智能办公：构建一体化的AI工作台，围绕 RAG 企业知识问答、多模型通用助手、集成Action Agent的办事Skills及 AI 运营平台四大核心能力，驱动全员 AI办公渗透，重塑全球化协同办公新范式。

任职要求：
1. 计算机相关专业，具备扎实的 Java 基础与代码素养，熟悉 Spring Boot、微服务及主流数据库技术。
2. 理解Agent架构原理（如 ReAct、CoT、Memory 机制）及 RAG 检索优化经验，熟悉主流Agent框架（如LangChain，google ADK等）。
3. 面对全球化企业复杂的经营逻辑，具备较强的逻辑梳理能力，善于将业务问题转化为技术模型。
4. 具备优秀的沟通能力与跨团队协作意识，能在全球化协同环境下高效推进项目落地。
5. 保持对 AI 原生应用的热情，拥有优秀的独立思考能力与反思总结习惯。",AI应用工程师,Java; Spring Boot; 数据库; AI Agent; ReAct; CoT; Memory; RAG; LangChain
搜索算法工程师-抖音（上海/杭州）,"岗位职责：
团队介绍：字节跳动抖音搜索团队主要负责抖音搜索算法创新和架构研发工作，主要包括短视频、直播、本地生活、视觉搜索等多个业务线。我们使用最前沿的机器学习技术进行端到端建模并不断创新突破，同时专注于分布式系统、机器学习系统的构建和性能优化，从内存、Disk等优化到索引压缩、召回、排序等算法的探索，充分给同学们提供成长自我的机会。主要工作方向包括：1、探索前沿的NLP技术：从基础的分词、NER，到应用上的Query分析、基础相关性等，全链路应用深度学习模型，每个细节都充满挑战；2、跨模态匹配技术：在搜索中应用CV+NLP深度学习技术，让视频搜索拥有更强大的检索能力；3、大规模流式机器学习技术：应用大规模机器学习，解决搜索中的推荐问题，让搜索更加个性化更加懂你；4、千亿级数据规模的架构：从大规模离线计算，分布式系统的性能、调度优化，到构建高可用、高吞吐和低延迟的在线服务的方方面面都有深入研究和创新。

1、参与抖音搜索的核心算法改进工作：用先进的NLP、CV、CTR预估等技术不断提高搜索结果的精度，持续提升用户的搜索体验；
2、可能的方向包括：
1）匹配技术（文本匹配和多模匹配）：匹配技术是搜索引擎的核心；在抖音搜索，你将有机会应用前沿的NLP和CV技术为每一个Query匹配相关的视频，持续提升抖音搜索的相关性；
2）点击率预估：解决搜索中的推荐问题，让抖音搜索在“相关”的基础上增加个性化的能力，更懂用户；
3）视频理解：综合运用NLP、CV、图神经网络等技术，从视频本身以及社交网络的角度进行视频理解，提高搜索结果的权威性、可信度和有用性；
4）新产品形态和技术：探索智能封面、视频摘要、视频精准问答等高效便捷的交互技术。

任职要求：
1、出色的分析问题、解决问题能力；
2、出色的机器学习和深度学习基础能力，在NLP、CV、CTR预估、图神经网络等方面有一定的应用经验；
3、出色的代码能力、数据结构和基础算法功底；
4、熟悉Linux开发环境，熟练使用C++和Python语言；
5、有搜索算法经验者加分。",搜索算法工程师,机器学习; 深度学习; NLP; CV; CTR预估; 图神经网络; Linux; C++; Python; 搜索算法
大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,"岗位职责：
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。
TikTok隐私安全团队站在国际化战略第一线，使命是让TikTok成为人们可以在其中放心地探索、创作与连接的平台。
我们的职责是：
1、在TikTok内给用户提供安全及隐私保护功能，保障用户安全和放心使用产品；
2、保护TikTok用户的隐私，包括用户数据在完整生命周期的安全及产品在各地区的合规。

1、直接参与大模型核心算子与系统级性能优化；
2、设计并实现高性能GPU kernel，用于Transformer/Attention/MoE/Diffusion等核心算子；
3、针对大模型训练与推理场景进行端到端性能优化；
4、深度分析GPU执行瓶颈，使用或扩展Triton/CUDA/CUTLASS，并与PyTorch/XLA/Custom Runtim集成；
5、与模型研究团队协作，将新的模型结构落地为高效实现；
6、对比和复现业界SOTA系统优化方案，并在真实训练/推理环境中验证收益。

任职要求：
1、2027届硕士及以上学位在读，人工智能、计算机、软件、数学等相关专业优先；
2、扎实的GPU体系结构基础；
3、熟练使用CUDA C++或Triton，能独立写Kernel并做性能调优；
4、熟悉Transformer/Attention的计算模式与瓶颈；
5、能读懂并复现系统方向论文或开源实现。

加分项：
1、有大模型训练实战经验；
2、熟悉PyTorch内部机制；
3、有Kernel Profiling与调优经验；
4、有论文、开源项目或性能Benchmark贡献。",大模型算法工程师,GPU; CUDA; C++; Triton; Kernel; Transformer; Attention; Diffusion; 大模型训练; PyTorch内部机制; Kernel Profiling; Benchmark; 算子优化
AI产品经理,"岗位职责：
将负责京东智能客服平台中，基于大模型的自助服务与人工辅助系统的运营策略、效果监控与增长工作，确保AI产品价值最大化
1. 产品应用与推广：
制定和实施智能客服自助与辅助系统的运营策略、推广计划和用户触达方案，提升产品在客户端及内部客服侧的覆盖率与使用深度。
协同产品、研发团队，将运营需求转化为产品优化点，持续迭代产品功能，以更好地满足用户需求和业务目标。
2.数据分析与效果监控：
构建和维护AI产品的核心运营指标（KPI）体系，包括但不限于解决率、ATT等。
通过深入的数据挖掘和分析，监控产品效果，识别用户体验痛点和运营瓶颈，并输出高效的运营优化与策略调整方案。
3.内容与知识库运营：
负责智能对话平台知识库、话术模型的运营维护与质量优化，确保AI回复的准确性、专业性和及时性。
基于用户反馈和数据表现，持续优化大模型的策略配置与运营参数，提升模型的应用效果。
4.跨部门协同与赋能：
作为连接产品与实际业务的关键桥梁，与运营部门、业务线紧密合作，推动AI产品在不同业务场景的规模化应用，实现AI能力对业务的有效赋能

任职要求：
1.教育背景与经验： 本科及以上学历。具备大型互联网公司、AI产品或智能客服/SaaS产品的运营经验者优先。
2.AI与数据应用能力：
具备AI产品运营经验，对大模型（LLM）、智能体（Agent）等AI技术在实际场景中的应用和效果评估有深刻理解。
精通数据分析工具与方法，能够独立构建运营指标体系，并通过数据分析驱动运营决策与产品迭代。
3.核心素质：
具备优秀的沟通协调、项目管理与推动能力，能够高效驱动多部门资源达成运营目标。
强烈的结果导向意识、创新思维和抗压能力，善于在快速变化的环境中找到增长突破口
符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",AI产品经理,LLM; Agent; AI产品运营
【北斗】AI决策算法研究员（外卖/即时零售方向）,"岗位职责：
【愿景】
美团配送决策智能中心承接全球最大规模即时配送业务，每天处理千万级订单、调度百万级骑手，团队曾获2023年Franz Edelman奖（工业工程界""诺贝尔奖""），已发表数十篇AI顶会论文。我们正在用AI重新定义即时配送的决策边界。

【你将参与】
1.智能调度与端到端决策：基于深度学习、强化学习对调度系统中的过滤、压单、指派、改派等多样决策行为进行端到端建模，探索LLM+RL驱动的新一代调度决策范式，实现多对一订单-骑手匹配的分布式实时全局优化。
2.时间预估与时空基础模型：研究LLM与时空数据的深度融合，构建新一代时空基础模型，突破传统判别式模型上限，提升复杂场景下的泛化精度与序贯规划能力。
3.骑手定价与因果决策：研究因果推断与大规模运筹优化在骑手定价中的前沿应用，构建高鲁棒性因果弹性模型，在预算约束下生成最优调价方案，最大化运力供给与用户体验。
4.供需平衡与智能调控：探索供需预测、运力调控的序贯决策优化，研究LLM增强的因果推断与反事实推演，实现从""数据相关性分析""到""因果性决策""的跨越。

任职要求：
【任职资格】
2027届本科及以上学历，计算机、人工智能等相关专业，且以下条件至少满足一项：
1.在顶级期刊或学术会议（NeurIPS/ICML/ICLR/KDD/AAAI/OR等）以第一作者身份发表论文（或导师一作，自己为二作）。
2.在顶级大赛（ACM-ICPC/Kaggle等）上获奖。
3.有大厂实验室实习经验，或有贡献突出的开源项目。
加分项：
1.有强化学习、运筹优化、因果推断、时空建模方向的研究背景；熟悉LLM与决策科学融合的前沿方向。
【为什么是我们】
1.真实战场：千万级日订单、百万级骑手，全球最大规模即时配送决策系统。
2.资源保障：充足GPU集群，顶尖模型Token供给。
3.成果导向：鼓励顶会发论文，团队已获Franz Edelman奖。
4.高密度氛围：博士比例高，与顶尖高校保持长期联合研究。",算法研究员,强化学习; 运筹优化; 因果推断; 时空建模; LLM; 决策科学; 即时配送决策
