standard_job,standard_category,source_jd_count,unique_skill_count,has_source_data,demand_trend_type,activity_pattern,total_planned_jd_count,active_month_count,zero_month_count,first_active_month,last_active_month,peak_month,min_monthly_jd,max_monthly_jd,has_reappearance,profile_notes
大模型算法工程师,AI算法,587,161,yes,持续上升,常规月度波动,50,20,0,2024-12,2026-07,2026-05,1,4,no,存在传统/新兴重复归类技能
AI Agent算法工程师,AI算法,655,172,yes,稳定波动,常规月度波动,64,19,1,2024-12,2026-07,2025-01,2,4,yes,存在传统/新兴重复归类技能
大模型应用工程师,AI应用,176,149,yes,持续上升,常规月度波动,38,20,0,2024-12,2026-07,2026-04,1,3,no,存在传统/新兴重复归类技能
AI Agent应用工程师,AI应用,596,178,yes,稳定波动,常规月度波动,37,18,2,2024-12,2026-07,2025-01,1,3,yes,存在传统/新兴重复归类技能
AI应用工程师,AI应用,115,91,yes,间歇出现,趋势包含阶段性不出现,34,12,8,2025-01,2026-07,2026-03,2,4,yes,存在传统/新兴重复归类技能
AI安全工程师,AI安全,93,94,yes,间歇出现,趋势包含阶段性不出现,21,9,11,2025-01,2026-05,2025-02,2,3,yes,存在传统/新兴重复归类技能
AI Infra工程师,AI基础设施,473,151,yes,稳定波动,常规月度波动,63,19,1,2024-12,2026-06,2025-01,2,5,no,存在传统/新兴重复归类技能
AIGC算法工程师,AI算法,95,61,yes,先上升后下降,常规月度波动,37,19,1,2024-12,2026-07,2025-08,1,3,yes,存在传统/新兴重复归类技能
多模态算法工程师,AI算法,163,83,yes,先上升后稳定,常规月度波动,50,18,2,2024-12,2026-07,2025-10,1,4,yes,存在传统/新兴重复归类技能
NLP算法工程师,AI算法,103,86,yes,先上升后稳定,常规月度波动,51,18,2,2025-01,2026-07,2025-09,1,4,yes,存在传统/新兴重复归类技能
计算机视觉算法工程师,AI算法,71,55,yes,稳定波动,常规月度波动,29,19,1,2024-12,2026-07,2024-12,1,2,yes,存在传统/新兴重复归类技能
语音算法工程师,AI算法,97,63,yes,持续上升,常规月度波动,40,19,1,2024-12,2026-07,2026-05,1,4,yes,存在传统/新兴重复归类技能
推荐算法工程师,算法,278,79,yes,消失后再出现,趋势包含阶段性不出现,51,17,3,2024-12,2026-07,2026-03,2,4,yes,存在传统/新兴重复归类技能
搜索算法工程师,算法,103,69,yes,间歇出现,趋势包含阶段性不出现,17,7,13,2024-12,2026-06,2024-12,2,3,yes,存在传统/新兴重复归类技能
广告算法工程师,算法,159,71,yes,先上升后下降,常规月度波动,35,19,1,2024-12,2026-07,2025-10,1,3,yes,存在传统/新兴重复归类技能
风控算法工程师,算法,75,54,yes,稳定波动,常规月度波动,32,19,1,2024-12,2026-07,2024-12,1,2,yes,存在传统/新兴重复归类技能
