normalized_keyword,category,keyword_type,doc_count,mention_count,source_type_counts,example_job_ids,example_job_titles,example_evidence
AI,AI与大模型,technology,50,50,enterprise:50,job_6394c9a8372e3e23f95f;job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e,AI产品经理-AI生成游戏 | AI产品经理 | AI设计工程师,与AI工程师协作，设计LLM的系统提示词（System Prompt），定义AI的理解能力边界和输出规范 | 利用端侧的本地AI模型，挖掘并解决用户在PC端侧办公学习场景下的问题和需求 | AI 驱动的原型开发：使用 AI Coding 工具直接将设计概念转化为可交互的高保真 Demo，能直接参与到研发工作中
Large Language Model,数据与算法,technology,50,50,enterprise:50,job_6394c9a8372e3e23f95f;job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e,AI产品经理-AI生成游戏 | AI产品经理 | AI设计工程师,与AI工程师协作，设计LLM的系统提示词（System Prompt），定义AI的理解能力边界和输出规范 | 理解大模型的技术原理和能力边界，深刻理解模型进化带来的解决方式的改变，并充分应用在产品设计中 | 人工智能与大模型岗位群
人工智能,AI与大模型,technology,50,50,enterprise:50,job_6394c9a8372e3e23f95f;job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e,AI产品经理-AI生成游戏 | AI产品经理 | AI设计工程师,人工智能与大模型岗位群 | 人工智能与大模型岗位群 | 人工智能与大模型岗位群
人工智能与大模型,AI与大模型,auto_phrase,50,50,enterprise:50,job_6394c9a8372e3e23f95f;job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e,AI产品经理-AI生成游戏 | AI产品经理 | AI设计工程师,人工智能与大模型岗位群 | 人工智能与大模型岗位群 | 人工智能与大模型岗位群
人工智能与大模型岗位群,岗位标签,title_or_tag,50,50,enterprise:50,job_6394c9a8372e3e23f95f;job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e,AI产品经理-AI生成游戏 | AI产品经理 | AI设计工程师,人工智能与大模型岗位群 | 人工智能与大模型岗位群 | 人工智能与大模型岗位群
大模型,AI与大模型,technology,50,50,enterprise:50,job_6394c9a8372e3e23f95f;job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e,AI产品经理-AI生成游戏 | AI产品经理 | AI设计工程师,人工智能与大模型岗位群 | 理解大模型的技术原理和能力边界，深刻理解模型进化带来的解决方式的改变，并充分应用在产品设计中 | 人工智能与大模型岗位群
产品,岗位标签,title_or_tag,25,25,enterprise:25,job_6394c9a8372e3e23f95f;job_c2396654a70c7aa00053;job_7327bfadf20d1f534d7a,AI产品经理-AI生成游戏 | AI产品经理 | AI产品架构师,产品 | 产品 | 产品
Agent,AI与大模型,auto_english,17,17,enterprise:17,job_6e5097a612430522b56d;job_1f9a714ff03a61a3598c;job_3953be93a8589d7d6e40,证券-AI产品经理-金融AI应用体验方向 | AI创意设计师 | PC游戏平台AI Builder,前沿技术应用与产品化：紧密跟踪AI领域（如Agent架构、RAG、SFT/RLHF等）发展趋势 | 沉淀团队专属的 AI 风格模型库、工作流模板及 Agent 资源 | Game Use Agent ： 深度探索并推动 Agent在 PC 游戏与平台生态中的融合应用
AI Agent,AI与大模型,technology,17,17,enterprise:17,job_6e5097a612430522b56d;job_1f9a714ff03a61a3598c;job_3953be93a8589d7d6e40,证券-AI产品经理-金融AI应用体验方向 | AI创意设计师 | PC游戏平台AI Builder,包括但不限于：设计AI Agent的决策流、设定人机协同边界、规划工具调用与长短期记忆机制、确保结果的可解释性与可控性 | AI 专家级实操： 精通 ComfyUI 节点式逻辑、模型微调、插件调用及 Agent 自动化流程搭建 | 一起定义和设计下一代“游戏智能体及智能辅助”，在玩家“寻找游戏-运行游戏-游戏辅助-社区互动”的全生命周期中，打造革命性的平台交互新物种
三年以上工作经验,岗位标签,title_or_tag,17,17,enterprise:17,job_7327bfadf20d1f534d7a;job_3d35aa746bb0ef5f37b6;job_541a628d868ec5738147,AI产品架构师 | QClaw-AI增长运营 | 腾讯云-腾讯云AI解决方案架构师-AI,三年以上工作经验 | 三年以上工作经验 | 三年以上工作经验
