normalized_skill,kg_display_skill,skill_type,standard_categories,standard_jobs,first_seen_month,last_seen_month,first_seen_job_id,last_seen_job_id,mention_count,source_job_ids,source_count,sources,updated_at
AIGC,AI,new,AI算法; AI应用; 软件研发; 测试质量; 技术支持; 多媒体; 产品,大模型算法工程师; 大模型应用工程师; AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师; 后端开发工程师; 前端开发工程师; 测试开发工程师; 解决方案工程师; 音视频工程师; AI产品经理,2024-12,2026-07,GEN000308,GEN002335,123,GEN000004; GEN000123; GEN000308; GEN000309; GEN000311; GEN000312; GEN000313; GEN000314; GEN000316; GEN000319; GEN000320; GEN000322; GEN000324; GEN000327; GEN000330; GEN000331; GEN000334; GEN000335; GEN000337; GEN000338; GEN000341; GEN000342; GEN000343; GEN000344; GEN000345; GEN000346; GEN000348; GEN000349; GEN000351; GEN000354; GEN000355; GEN000357; GEN000359; GEN000360; GEN000362; GEN000363; GEN000365; GEN000367; GEN000368; GEN000369; GEN000371; GEN000373; GEN000375; GEN000376; GEN000378; GEN000381; GEN000384; GEN000385; GEN000387; GEN000389; GEN000390; GEN000394; GEN000446; GEN000449; GEN000450; GEN000453; GEN000454; GEN000455; GEN000456; GEN000458; GEN000460; GEN000461; GEN000463; GEN000465; GEN000466; GEN000467; GEN000468; GEN000470; GEN000472; GEN000473; GEN000474; GEN000801; GEN000829; GEN001573; GEN001576; GEN001921; GEN001923; GEN001925; GEN001927; GEN001928; GEN001931; GEN001933; GEN001935; GEN001936; GEN001937; GEN001938; GEN001939; GEN001940; GEN002058; GEN002059; GEN002060; GEN002061; GEN002062; GEN002063; GEN002064; GEN002065; GEN002066; GEN002067; GEN002068; GEN002070; GEN002307; GEN002308; GEN002310; GEN002311; GEN002312; GEN002313; GEN002315; GEN002316; GEN002317; GEN002318; GEN002319; GEN002321; GEN002322; GEN002323; GEN002324; GEN002325; GEN002326; GEN002327; GEN002329; GEN002331; GEN002333; GEN002334; GEN002335,123,base_event_stream,2026-07-28T09:24:54+00:00
AIops,系统与运维,new,软件研发; 基础设施; 安全; 通信,C++开发工程师; 运维工程师; 信息安全工程师; 网络工程师; 通信工程师,2024-12,2026-07,GEN001640,GEN001677,24,GEN000955; GEN001640; GEN001642; GEN001645; GEN001646; GEN001649; GEN001651; GEN001653; GEN001655; GEN001658; GEN001660; GEN001661; GEN001663; GEN001665; GEN001666; GEN001668; GEN001671; GEN001675; GEN001676; GEN001677; GEN001730; GEN001748; GEN001808; GEN002077,24,base_event_stream,2026-07-28T09:24:54+00:00
AI基础设施,AI,new,AI算法; AI基础设施; 软件研发; 基础设施; 技术支持,大模型算法工程师; AI Infra工程师; 后端开发工程师; 系统软件工程师; 软件架构师; DevOps工程师; 云计算工程师; 解决方案工程师,2024-12,2026-07,GEN000245,GEN001699,86,GEN000003; GEN000044; GEN000245; GEN000247; GEN000250; GEN000252; GEN000253; GEN000254; GEN000257; GEN000258; GEN000260; GEN000261; GEN000262; GEN000264; GEN000266; GEN000268; GEN000269; GEN000272; GEN000275; GEN000279; GEN000280; GEN000284; GEN000285; GEN000288; GEN000289; GEN000291; GEN000292; GEN000294; GEN000296; GEN000297; GEN000298; GEN000303; GEN000305; GEN000307; GEN000788; GEN001141; GEN001144; GEN001145; GEN001146; GEN001147; GEN001148; GEN001150; GEN001151; GEN001153; GEN001156; GEN001158; GEN001160; GEN001162; GEN001163; GEN001165; GEN001167; GEN001168; GEN001169; GEN001170; GEN001172; GEN001174; GEN001175; GEN001177; GEN001178; GEN001274; GEN001623; GEN001625; GEN001626; GEN001627; GEN001628; GEN001629; GEN001631; GEN001632; GEN001633; GEN001634; GEN001636; GEN001637; GEN001680; GEN001682; GEN001684; GEN001686; GEN001687; GEN001688; GEN001689; GEN001690; GEN001692; GEN001694; GEN001695; GEN001697; GEN001699; GEN001934,86,base_event_stream,2026-07-28T09:24:54+00:00
AI安全,安全,new,AI算法; AI安全; 测试质量; 安全; 技术支持; 产品,大模型算法工程师; AI Agent算法工程师; AI安全工程师; 大模型测试工程师; 网络安全工程师; 信息安全工程师; 解决方案工程师; AI产品经理,2024-12,2026-07,GEN001487,GEN002335,99,GEN000004; GEN000071; GEN000225; GEN000226; GEN000227; GEN000230; GEN000232; GEN000233; GEN000234; GEN000237; GEN000239; GEN000240; GEN000241; GEN000243; GEN001487; GEN001489; GEN001490; GEN001492; GEN001493; GEN001494; GEN001495; GEN001496; GEN001499; GEN001501; GEN001502; GEN001504; GEN001506; GEN001507; GEN001508; GEN001510; GEN001511; GEN001512; GEN001515; GEN001517; GEN001519; GEN001520; GEN001521; GEN001523; GEN001525; GEN001529; GEN001530; GEN001704; GEN001706; GEN001707; GEN001708; GEN001709; GEN001710; GEN001712; GEN001713; GEN001714; GEN001715; GEN001718; GEN001719; GEN001720; GEN001722; GEN001723; GEN001724; GEN001725; GEN001728; GEN001731; GEN001734; GEN001735; GEN001736; GEN001737; GEN001738; GEN001739; GEN001742; GEN001743; GEN001744; GEN001745; GEN001746; GEN001747; GEN001748; GEN001749; GEN001750; GEN001751; GEN001753; GEN001754; GEN001756; GEN001757; GEN001758; GEN001759; GEN001928; GEN002316; GEN002317; GEN002318; GEN002320; GEN002321; GEN002322; GEN002323; GEN002324; GEN002325; GEN002326; GEN002327; GEN002330; GEN002331; GEN002333; GEN002334; GEN002335,99,base_event_stream,2026-07-28T09:24:54+00:00
AI工作流设计,AI,new,AI应用; 软件研发; 测试质量; 技术支持; 产品,大模型应用工程师; AI Agent应用工程师; 后端开发工程师; 前端开发工程师; 全栈开发工程师; 软件架构师; 测试开发工程师; 解决方案工程师; AI产品经理,2025-01,2026-07,GEN000117,GEN002335,89,GEN000117; GEN000120; GEN000121; GEN000122; GEN000123; GEN000124; GEN000125; GEN000126; GEN000128; GEN000129; GEN000131; GEN000133; GEN000136; GEN000138; GEN000140; GEN000142; GEN000143; GEN000146; GEN000147; GEN000148; GEN000151; GEN000155; GEN000158; GEN000161; GEN000164; GEN000165; GEN000166; GEN000168; GEN000171; GEN000174; GEN000175; GEN000177; GEN000178; GEN000180; GEN000183; GEN000185; GEN000187; GEN000189; GEN000789; GEN000847; GEN000885; GEN000886; GEN000888; GEN000891; GEN000893; GEN000894; GEN000895; GEN000898; GEN000900; GEN001262; GEN001263; GEN001265; GEN001267; GEN001270; GEN001271; GEN001275; GEN001276; GEN001279; GEN001281; GEN001283; GEN001285; GEN001288; GEN001290; GEN001293; GEN001294; GEN001296; GEN001298; GEN001300; GEN001555; GEN001932; GEN002312; GEN002314; GEN002315; GEN002316; GEN002317; GEN002318; GEN002320; GEN002321; GEN002322; GEN002323; GEN002324; GEN002325; GEN002326; GEN002328; GEN002330; GEN002331; GEN002333; GEN002334; GEN002335,89,base_event_stream,2026-07-28T09:24:54+00:00
AI工具,大模型,new,软件研发; 安全; 芯片,客户端开发工程师; 嵌入式软件工程师; 驱动开发工程师; 软件开发工程师; 网络安全工程师; 芯片验证工程师,2025-05,2026-07,GEN001038,GEN001727,9,GEN001038; GEN001207; GEN001229; GEN001326; GEN001718; GEN001727; GEN002150; GEN002165; GEN002167,9,base_event_stream,2026-07-28T09:24:54+00:00
AI应用开发,AI,new,AI应用; 软件研发; 测试质量; 技术支持; 产品,大模型应用工程师; AI Agent应用工程师; AI应用工程师; 后端开发工程师; 前端开发工程师; 全栈开发工程师; 软件开发工程师; 测试开发工程师; 解决方案工程师; AI产品经理,2024-12,2026-07,GEN000115,GEN002335,75,GEN000115; GEN000118; GEN000119; GEN000121; GEN000122; GEN000123; GEN000124; GEN000125; GEN000126; GEN000127; GEN000129; GEN000132; GEN000133; GEN000135; GEN000137; GEN000140; GEN000141; GEN000142; GEN000145; GEN000146; GEN000148; GEN000149; GEN000150; GEN000152; GEN000158; GEN000190; GEN000191; GEN000192; GEN000194; GEN000195; GEN000197; GEN000199; GEN000202; GEN000203; GEN000205; GEN000209; GEN000211; GEN000212; GEN000213; GEN000214; GEN000216; GEN000217; GEN000218; GEN000219; GEN000220; GEN000223; GEN000781; GEN000827; GEN000885; GEN000886; GEN000887; GEN000889; GEN000891; GEN000892; GEN000894; GEN000895; GEN000897; GEN000900; GEN001303; GEN001571; GEN001935; GEN002318; GEN002319; GEN002321; GEN002322; GEN002323; GEN002324; GEN002325; GEN002326; GEN002328; GEN002329; GEN002332; GEN002333; GEN002334; GEN002335,75,base_event_stream,2026-07-28T09:24:54+00:00
AI测试,AI,new,AI应用; AI安全; 软件研发; 测试质量; 技术支持; 产品,大模型应用工程师; AI安全工程师; 后端开发工程师; 大模型测试工程师; 测试开发工程师; 质量工程师; 测试工程师; 解决方案工程师; AI产品经理,2025-01,2026-07,GEN001489,GEN002335,94,GEN000119; GEN000226; GEN000228; GEN000229; GEN000231; GEN000233; GEN000234; GEN000236; GEN000239; GEN000240; GEN000241; GEN000243; GEN000804; GEN001489; GEN001490; GEN001492; GEN001493; GEN001495; GEN001496; GEN001497; GEN001499; GEN001500; GEN001503; GEN001504; GEN001507; GEN001508; GEN001510; GEN001512; GEN001513; GEN001514; GEN001515; GEN001518; GEN001520; GEN001521; GEN001525; GEN001526; GEN001528; GEN001529; GEN001534; GEN001536; GEN001537; GEN001538; GEN001540; GEN001541; GEN001542; GEN001546; GEN001547; GEN001549; GEN001550; GEN001553; GEN001554; GEN001555; GEN001557; GEN001559; GEN001564; GEN001566; GEN001567; GEN001569; GEN001570; GEN001571; GEN001574; GEN001575; GEN001577; GEN001578; GEN001580; GEN001583; GEN001584; GEN001587; GEN001589; GEN001595; GEN001596; GEN001597; GEN001598; GEN001599; GEN001602; GEN001608; GEN001611; GEN001612; GEN001615; GEN001617; GEN001618; GEN001934; GEN002321; GEN002322; GEN002323; GEN002324; GEN002325; GEN002326; GEN002327; GEN002329; GEN002332; GEN002333; GEN002334; GEN002335,94,base_event_stream,2026-07-28T09:24:54+00:00
AI算法,AI,new,软件研发; 数据; 测试质量; 技术支持; 芯片; 硬件; 产品; AI应用,前端开发工程师; iOS开发工程师; 驱动开发工程师; 数据分析师; 测试工程师; 解决方案工程师; 芯片验证工程师; 硬件工程师; AI产品经理; 大模型应用工程师,2024-12,2026-07,GEN001897,web_202607_20260730184035726988_job_05e47dfd,44,GEN000872; GEN001115; GEN001235; GEN001250; GEN001463; GEN001464; GEN001609; GEN001897; GEN001899; GEN001900; GEN001901; GEN001902; GEN001907; GEN001908; GEN001909; GEN001910; GEN001911; GEN001912; GEN001914; GEN001916; GEN001917; GEN001918; GEN001920; GEN001921; GEN001924; GEN001926; GEN001929; GEN001931; GEN001933; GEN001934; GEN001936; GEN001937; GEN001938; GEN001939; GEN001940; GEN002164; GEN002283; GEN002306; GEN002307; GEN002311; GEN002314; web_202607_20260730182901742050_job_623c31d9; web_202607_20260730183017711285_job_16a9e0a5; web_202607_20260730184035726988_job_05e47dfd,44,base_event_stream; web_app_review,2026-07-30T10:41:03+00:00
AI芯片,硬件与芯片,new,软件研发; 通信; 硬件,C++开发工程师; 通信工程师; 硬件工程师,2025-05,2026-02,GEN002281,GEN002291,7,GEN000950; GEN000964; GEN002076; GEN002281; GEN002287; GEN002289; GEN002291,7,base_event_stream,2026-07-28T09:24:54+00:00
