skill,kg_display_skill,skill_type,industry_origin_month,origin_jobs,early_jobs,mid_jobs,late_jobs,notes
LLM,大模型,new,2024-12,大模型算法工程师;大模型应用工程师;NLP算法工程师,AI Agent算法工程师;AI Agent应用工程师;多模态算法工程师;AIGC算法工程师,后端开发工程师;AI产品经理;解决方案工程师;软件架构师;AI安全工程师,前端开发工程师;测试开发工程师;DevOps工程师,大模型底座能力先在算法和应用岗位稳定出现 再扩散到工程和产品岗位
RAG,大模型,new,2024-12,大模型应用工程师;NLP算法工程师;搜索算法工程师,AI Agent应用工程师;AI Agent算法工程师;大模型算法工程师,后端开发工程师;解决方案工程师;AI产品经理;软件架构师,全栈开发工程师;Java开发工程师;测试开发工程师,RAG先从大模型应用和检索/NLP场景出现 后续进入Agent和工程落地岗位
Agent,大模型,new,2025-01,AI Agent应用工程师;AI Agent算法工程师,大模型应用工程师;AI产品经理,后端开发工程师;软件架构师;全栈开发工程师;测试开发工程师,前端开发工程师;DevOps工程师;解决方案工程师,Agent应从专门Agent岗位和大模型应用岗位起步 不能从技术支持或芯片岗位起源
AI工作流设计,AI,new,2025-01,AI Agent应用工程师;大模型应用工程师,AI产品经理;软件架构师,后端开发工程师;全栈开发工程师;测试开发工程师,前端开发工程师;解决方案工程师,AI工作流更偏应用编排和产品化落地
Multi-Agent,大模型,new,2025-02,AI Agent应用工程师;AI Agent算法工程师,大模型应用工程师;软件架构师,后端开发工程师;测试开发工程师,全栈开发工程师;AI产品经理,多智能体先由Agent研发岗位采用
LangChain,大模型,new,2025-01,大模型应用工程师;AI Agent应用工程师,后端开发工程师;全栈开发工程师;软件架构师,解决方案工程师;测试开发工程师;AI产品经理,Java开发工程师;前端开发工程师,LangChain是大模型应用框架 先在应用研发岗位出现
LangGraph,大模型,new,2025-02,AI Agent应用工程师,AI Agent算法工程师;大模型应用工程师;软件架构师,后端开发工程师;全栈开发工程师,测试开发工程师;AI产品经理,LangGraph更适合作为Agent工作流编排技术起点
Function Calling,大模型,new,2025-01,AI Agent应用工程师;大模型应用工程师,AI Agent算法工程师;后端开发工程师,软件架构师;全栈开发工程师;AI产品经理,测试开发工程师;解决方案工程师,函数调用先服务Agent/大模型应用 后续扩散到后端工程
Tool Use,大模型,new,2025-02,AI Agent算法工程师;AI Agent应用工程师,大模型应用工程师;软件架构师,后端开发工程师;测试开发工程师,AI产品经理;解决方案工程师,Tool Use不应从芯片/数据仓库类岗位起源
MCP,大模型,new,2025-04,AI Agent应用工程师;大模型应用工程师,软件架构师;后端开发工程师,DevOps工程师;解决方案工程师;全栈开发工程师,测试开发工程师;AI产品经理,MCP是Agent工具生态协议 先在Agent/应用/架构岗位出现
AutoGen,大模型,new,2025-02,AI Agent应用工程师;AI Agent算法工程师,大模型应用工程师;软件架构师,后端开发工程师;测试开发工程师,AI产品经理;解决方案工程师,AutoGen偏多Agent开发框架
prompt工程,大模型,new,2024-12,大模型应用工程师;AI Agent应用工程师;AI产品经理,NLP算法工程师;大模型算法工程师;解决方案工程师,后端开发工程师;测试开发工程师;软件架构师,前端开发工程师;全栈开发工程师,Prompt工程先在模型应用/产品和NLP岗位出现
上下文工程,大模型,new,2025-03,大模型应用工程师;AI Agent应用工程师,AI Agent算法工程师;软件架构师,后端开发工程师;测试开发工程师;AI产品经理,全栈开发工程师;解决方案工程师,Context Engineering属于大模型应用深化阶段
Context Engineering,大模型,new,2025-03,大模型应用工程师;AI Agent应用工程师,AI Agent算法工程师;软件架构师,后端开发工程师;测试开发工程师;AI产品经理,全栈开发工程师;解决方案工程师,上下文工程英文别名
Embedding,大模型,new,2024-12,NLP算法工程师;搜索算法工程师;大模型应用工程师,大模型算法工程师;AI Agent应用工程师,后端开发工程师;数据开发工程师;解决方案工程师,软件架构师;AI产品经理,Embedding先从NLP/检索和大模型应用场景出现
向量数据库,数据工程,new,2024-12,大模型应用工程师;搜索算法工程师;数据开发工程师,AI Agent应用工程师;后端开发工程师;数据平台工程师,软件架构师;解决方案工程师;AI产品经理,全栈开发工程师;DevOps工程师,向量数据库是RAG落地基础设施
大模型应用,大模型,new,2024-12,大模型应用工程师;AI应用工程师,AI Agent应用工程师;AI产品经理,后端开发工程师;软件开发工程师;解决方案工程师,前端开发工程师;测试开发工程师,大模型应用能力从专门AI应用岗位向通用研发岗位扩散
AI应用开发,AI,new,2024-12,AI应用工程师;大模型应用工程师,AI Agent应用工程师;后端开发工程师;软件开发工程师,前端开发工程师;全栈开发工程师;AI产品经理,测试开发工程师;解决方案工程师,AI应用开发是AI工程化落地能力
Ai coding,AI,new,2025-03,软件开发工程师;测试开发工程师;大模型应用工程师,后端开发工程师;前端开发工程师;全栈开发工程师,DevOps工程师;软件架构师;AI产品经理,质量工程师;测试工程师,AI coding先在研发提效和测试开发场景扩散
AIGC,AI,new,2024-12,AIGC算法工程师;多模态算法工程师;计算机视觉算法工程师,大模型算法工程师;AI产品经理;音视频工程师,大模型应用工程师;前端开发工程师;解决方案工程师,后端开发工程师;测试开发工程师,AIGC先在生成式算法/多模态/视觉岗位出现 后续产品化
Diffusion,大模型,new,2024-12,AIGC算法工程师;多模态算法工程师;计算机视觉算法工程师,大模型算法工程师;图形图像工程师;音视频工程师,大模型应用工程师;AI产品经理,前端开发工程师;解决方案工程师,扩散模型先在图像生成和多模态算法岗位出现
Diffusion模型,大模型,new,2024-12,AIGC算法工程师;多模态算法工程师;计算机视觉算法工程师,大模型算法工程师;图形图像工程师;音视频工程师,大模型应用工程师;AI产品经理,前端开发工程师;解决方案工程师,扩散模型中文规范名
