job_id,job_title,company_name,source_type,source_name,raw_keyword,normalized_keyword,category,keyword_type,source,evidence_field,evidence_sentence,confidence,match_method
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,AI,AI,AI与大模型,technology,seed,job_title,元宝- AI策略产品经理,1.0,seed_dictionary
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,Agent,AI Agent,AI与大模型,technology,seed,job_description,优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验,0.9,seed_dictionary
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,Agent,Agent,AI与大模型,auto_english,regex_english,job_description,优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验,0.65,regex_english
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,RAG,RAG,AI与大模型,technology,seed,job_description,优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验,1.0,seed_dictionary
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,人工智能,人工智能,AI与大模型,technology,seed,keyword,人工智能与大模型岗位群,1.0,seed_dictionary
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,人工智能与大模型,人工智能与大模型,AI与大模型,auto_phrase,regex_chinese_phrase,keyword,人工智能与大模型岗位群,0.6,regex_chinese_phrase
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,大模型,大模型,AI与大模型,technology,seed,keyword,人工智能与大模型岗位群,1.0,seed_dictionary
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,CSIG,CSIG,岗位标签,title_or_tag,auto_title_tag,tags,CSIG,0.72,title_tag
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,两年以上工作经验,两年以上工作经验,岗位标签,title_or_tag,auto_title_tag,tags,两年以上工作经验,0.72,title_tag
job_02045c718340d09dd064,元宝- AI策略产品经理,腾讯,enterprise,腾讯招聘,产品,产品,岗位标签,title_or_tag,auto_title_tag,tags,产品,0.72,title_tag
