case_id,source_job_title,raw_skill,normalized_skill,normalization_method
*,全部用例,Go,Go,全局缩写/大小写等价
*,全部用例,C/C++,C/C++,全局缩写/大小写等价
*,全部用例,Ai Coding,AI Coding,全局缩写/大小写等价
*,全部用例,AI Coding,AI Coding,全局缩写/大小写等价
*,全部用例,Agent,Agent,全局缩写/大小写等价
*,全部用例,AI Agent,Agent,全局缩写/大小写等价
*,全部用例,Agent架构,Agent,全局缩写/大小写等价
*,全部用例,AI Ops,AI Ops,全局缩写/大小写等价
*,全部用例,AI Copilot,AI Copilot,全局缩写/大小写等价
*,全部用例,提示工程,prompt工程,全局缩写/大小写等价
*,全部用例,提示词工程,prompt工程,全局缩写/大小写等价
*,全部用例,ASR,ASR,全局缩写/大小写等价
*,全部用例,CV,Computer Vision,全局缩写/大小写等价
*,全部用例,MLLM,MLLM,全局缩写/大小写等价
JD001,软件开发,Java,Java,项目泛抽取词典
JD001,软件开发,Python,Python,项目泛抽取词典
JD001,软件开发,C++,C/C++,项目泛抽取词典
JD001,软件开发,开发框架,软件开发,人工逐条语义映射：开发框架归入软件开发
JD001,软件开发,数据库,数据工程,项目泛抽取词典
JD001,软件开发,内容推荐,推荐系统,人工逐条语义映射：内容推荐归入推荐系统
JD001,软件开发,性能优化,性能优化,项目泛抽取词典
JD002,测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,服务端测试开发,软件测试,人工逐条语义映射：服务端测试开发归入软件测试
JD002,测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,Go,Go,人工确认的缩写/大小写等价
JD002,测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,Python,Python,项目泛抽取词典
JD002,测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,Java,Java,项目泛抽取词典
JD002,测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,Hadoop,Hadoop,项目泛抽取词典
JD002,测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,Spark,Spark,项目泛抽取词典
JD002,测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,Hive,数据工程,人工逐条语义映射：Hive归入数据工程
