standard_job_title,standard_category,match_keywords
大模型算法工程师,AI算法,大模型.*算法|LLM.*算法|算法.*大模型|Foundation Model|World Model
大模型应用工程师,AI应用,大模型.*应用|LLM.*应用|RAG|Prompt|提示词|智能体|Agent.*开发|开发.*Agent
AI应用工程师,AI应用,AI应用|AI\s*Application|AI全栈|AI Agent|AIGC应用|智能应用
AI安全工程师,AI安全,AI.*安全|大模型安全|AIGC.*安全|guardrail|jailbreak|prompt injection
AI Infra工程师,AI基础设施,AI\s*Infra|AI基础设施|机器学习系统|大模型训练|训练优化|推理优化|模型部署|算力
AIGC算法工程师,AI算法,AIGC.*算法|生成式AI|生成式影像|文生图|文生视频
多模态算法工程师,AI算法,多模态.*算法|音频多模态|视觉语言|VLM|跨模态
NLP算法工程师,AI算法,NLP|自然语言|语言模型|文本算法|语义
计算机视觉算法工程师,AI算法,计算机视觉|视觉算法|CV算法|图像算法|影像算法|视频算法
语音算法工程师,AI算法,语音.*算法|音频.*算法|ASR|TTS|语音识别|语音合成|语音大模型
推荐算法工程师,算法,推荐.*算法|推荐系统
搜索算法工程师,算法,搜索.*算法|召回|排序
广告算法工程师,算法,广告.*算法|Ads.*算法
风控算法工程师,算法,风控.*算法|反作弊.*算法|反欺诈.*算法
机器学习算法工程师,AI算法,机器学习|Machine Learning|ML工程师|ML Engineer
数据挖掘算法工程师,算法,数据挖掘.*算法|挖掘算法
算法研究员,AI算法,Algorithm Researcher|研究员|Research Scientist
算法工程师,AI算法,算法工程师|算法开发|算法实习|算法岗|算法专家|算法$
后端开发工程师,软件研发,后端|服务端|后台|Server|Backend
前端开发工程师,软件研发,前端|Frontend|Web前端
全栈开发工程师,软件研发,全栈|Full[- ]?Stack
Java开发工程师,软件研发,Java
C++开发工程师,软件研发,C\+\+|CPP
Python开发工程师,软件研发,Python
Go开发工程师,软件研发,\bGo\b|Golang
客户端开发工程师,软件研发,客户端|Client
Android开发工程师,软件研发,Android|安卓
iOS开发工程师,软件研发,iOS|苹果客户端
系统软件工程师,软件研发,系统软件|System Software|平台软件|NPU|SDK/Tools
嵌入式软件工程师,软件研发,嵌入式.*软件|Embedded.*Software
驱动开发工程师,软件研发,驱动|Driver
软件架构师,软件研发,软件架构|系统架构|架构师
软件开发工程师,软件研发,软件开发|软件工程师|研发工程师|开发工程师|研发$|开发$
大数据开发工程师,数据,大数据.*开发|大数据开发|Big Data
数据开发工程师,数据,数据开发|数据研发|数据工程
数据仓库工程师,数据,数据仓库|数仓|Data Warehouse
数据平台工程师,数据,数据平台|数据中台
数据治理工程师,数据,数据治理|数据质量
数据分析师,数据,数据分析|商业分析|经营分析|分析师
数据工程师,数据,数据工程师|数据岗|数据$
大模型测试工程师,测试质量,大模型.*测试|AI.*测试|AIGC.*测试
测试开发工程师,测试质量,测试开发|测开|Test Development|SDET
质量工程师,测试质量,质量效能|质量工程|QA|QE
测试工程师,测试质量,测试工程师|软件测试|测试岗|测试类|测试$
DevOps工程师,基础设施,DevOps|研发效能|工程效能
运维工程师,基础设施,运维|Operation|OPS
云计算工程师,基础设施,云计算|云平台|Cloud
网络安全工程师,安全,网络安全|安全攻防|攻防|漏洞|红队|蓝队
信息安全工程师,安全,信息安全|数据安全|隐私安全
安全工程师,安全,安全工程师|安全技术|安全$
网络工程师,基础设施,网络开发|网络平台|网络工程|Network
数据库工程师,基础设施,数据库|DBA|Database
服务器工程师,基础设施,服务器|Server
技术支持工程师,技术支持,技术支持|Technical Support
解决方案工程师,技术支持,解决方案|Solution|Forward Deployed Engineer|FDE
机器人算法工程师,机器人,机器人.*算法|Robot.*Algorithm
机器人软件工程师,机器人,机器人.*软件|机器人.*开发|Robot
自动驾驶算法工程师,自动驾驶,自动驾驶|智驾|ADAS
控制算法工程师,算法,控制算法|运动控制
图形图像工程师,多媒体,图形|图像|渲染|Graphics
音视频工程师,多媒体,音视频|Audio|Video|编解码
通信工程师,通信,通信|标准化|5G|6G|蜂窝
芯片设计工程师,芯片,芯片.*设计|IC设计|SoC设计|ASIC
芯片验证工程师,芯片,芯片.*验证|验证工程师|DFT
芯片测试工程师,芯片,芯片.*测试|ATE
FPGA工程师,芯片,FPGA
电源工程师,硬件,电源|电池|BMS
结构工程师,硬件,结构设计|结构工程
热设计工程师,硬件,热设计|散热
硬件工程师,硬件,硬件|Hardware|单板
AI产品经理,产品,AI产品|大模型产品|AIGC产品
