annotation_id,sentence_id,job_id,job_title,source_type,source_name,evidence_field,text,span_text,span_start,span_end,label,normalized_skill,category,skill_type,decision
job_6394c9a8372e3e23f95f::job_description::0001::span::01,job_6394c9a8372e3e23f95f::job_description::0001,job_6394c9a8372e3e23f95f,AI产品经理-AI生成游戏,enterprise,腾讯招聘,job_description,4.主导LLM对话交互设计，定义AI助手的角色、对话流程和话术规范，确保用户能够自然、高效地表达游戏创意,LLM,4,7,knowledge,LLM,数据与算法,required,MODIFY
job_6394c9a8372e3e23f95f::job_description::0002::span::01,job_6394c9a8372e3e23f95f::job_description::0002,job_6394c9a8372e3e23f95f,AI产品经理-AI生成游戏,enterprise,腾讯招聘,job_description,5.与AI工程师协作，设计LLM的系统提示词（System Prompt），定义AI的理解能力边界和输出规范,LLM,13,16,knowledge,LLM,数据与算法,required,MODIFY
job_6394c9a8372e3e23f95f::job_description::0002::span::02,job_6394c9a8372e3e23f95f::job_description::0002,job_6394c9a8372e3e23f95f,AI产品经理-AI生成游戏,enterprise,腾讯招聘,job_description,5.与AI工程师协作，设计LLM的系统提示词（System Prompt），定义AI的理解能力边界和输出规范,System Prompt,23,36,knowledge,prompt工程,数据与算法,required,MODIFY
job_6394c9a8372e3e23f95f::job_description::0003::span::01,job_6394c9a8372e3e23f95f::job_description::0003,job_6394c9a8372e3e23f95f,AI产品经理-AI生成游戏,enterprise,腾讯招聘,job_description,6.编写需求澄清问题库和对话示例集（Few-shot Examples），提升LLM对游戏需求的理解准确率,LLM,39,42,knowledge,LLM,数据与算法,required,MODIFY
job_6394c9a8372e3e23f95f::job_description::0004::span::01,job_6394c9a8372e3e23f95f::job_description::0004,job_6394c9a8372e3e23f95f,AI产品经理-AI生成游戏,enterprise,腾讯招聘,job_description,7.建立LLM能力评估体系，通过测试案例持续优化AI理解和生成质量,LLM,4,7,knowledge,LLM,数据与算法,required,MODIFY
job_c2396654a70c7aa00053::job_description::0005::span::01,job_c2396654a70c7aa00053::job_description::0005,job_c2396654a70c7aa00053,AI产品经理,enterprise,腾讯招聘,job_description,理解大模型的技术原理和能力边界，深刻理解模型进化带来的解决方式的改变，并充分应用在产品设计中,大模型,2,5,knowledge,LLM,数据与算法,required,MODIFY
job_a1b9f0d64a7479d97c49::job_description::0006::span::01,job_a1b9f0d64a7479d97c49::job_description::0006,job_a1b9f0d64a7479d97c49,AI渲染研究员,enterprise,腾讯招聘,job_description,1.负责多模态游戏资产内容生成与增强相关算法的研发，通过大模型的训练、微调等手段，提升世界模型的清晰度、补全缺失内容,多模态,4,7,knowledge,Multimodal AI,数据与算法,required,ACCEPT
job_a1b9f0d64a7479d97c49::job_description::0006::span::02,job_a1b9f0d64a7479d97c49::job_description::0006,job_a1b9f0d64a7479d97c49,AI渲染研究员,enterprise,腾讯招聘,job_description,1.负责多模态游戏资产内容生成与增强相关算法的研发，通过大模型的训练、微调等手段，提升世界模型的清晰度、补全缺失内容,大模型,28,31,knowledge,LLM,数据与算法,required,MODIFY
job_a1b9f0d64a7479d97c49::job_description::0007::span::01,job_a1b9f0d64a7479d97c49::job_description::0007,job_a1b9f0d64a7479d97c49,AI渲染研究员,enterprise,腾讯招聘,job_description,2.探索多模态大模型与AIGC技术在游戏领域的应用，通过AI技术能力对世界模型进行二次编辑改造,多模态,4,7,knowledge,Multimodal AI,数据与算法,required,ACCEPT
job_a1b9f0d64a7479d97c49::job_description::0007::span::02,job_a1b9f0d64a7479d97c49::job_description::0007,job_a1b9f0d64a7479d97c49,AI渲染研究员,enterprise,腾讯招聘,job_description,2.探索多模态大模型与AIGC技术在游戏领域的应用，通过AI技术能力对世界模型进行二次编辑改造,大模型,7,10,knowledge,LLM,数据与算法,required,MODIFY
job_a1b9f0d64a7479d97c49::job_description::0007::span::03,job_a1b9f0d64a7479d97c49::job_description::0007,job_a1b9f0d64a7479d97c49,AI渲染研究员,enterprise,腾讯招聘,job_description,2.探索多模态大模型与AIGC技术在游戏领域的应用，通过AI技术能力对世界模型进行二次编辑改造,AIGC,11,15,knowledge,AIGC,数据与算法,required,ACCEPT
job_6e5097a612430522b56d::job_description::0008::span::01,job_6e5097a612430522b56d::job_description::0008,job_6e5097a612430522b56d,证券-AI产品经理-金融AI应用体验方向,enterprise,腾讯招聘,job_description,2.前沿技术应用与产品化：紧密跟踪AI领域（如Agent架构、RAG、SFT/RLHF等）发展趋势,Agent,23,28,knowledge,agent,数据与算法,required,MODIFY
