skill,kg_display_skill,skill_type,confirmation_min_job_mentions,first_seen_month,first_seen_standard_jobs,first_seen_job_count,is_left_censored,migration_confidence,migration_interpretation,latest_seen_month,latest_covered_job_count,cumulative_covered_job_count,spread_job_count,spread_standard_jobs,all_standard_jobs,confirmed_first_seen_month,confirmed_first_seen_standard_jobs,confirmed_first_seen_job_count,confirmed_cumulative_covered_job_count,confirmed_spread_job_count,confirmed_spread_standard_jobs,confirmed_migration_path,peak_monthly_covered_job_count,peak_monthly_covered_job_month,total_skill_mentions,migration_path,updated_at
AIGC,AI,new,2,2024-12,AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师,3,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,5,11,8,AI产品经理; 大模型算法工程师; 大模型应用工程师; 音视频工程师; 解决方案工程师; 前端开发工程师; 后端开发工程师; 测试开发工程师,AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师; AI产品经理; 大模型算法工程师; 大模型应用工程师; 音视频工程师; 解决方案工程师; 前端开发工程师; 后端开发工程师; 测试开发工程师,2025-01,AIGC算法工程师; AI产品经理; 多模态算法工程师; 计算机视觉算法工程师,4,7,3,音视频工程师; 解决方案工程师; 测试开发工程师,2025-01: AIGC算法工程师; AI产品经理; 多模态算法工程师; 计算机视觉算法工程师 -> 2025-06: 音视频工程师 -> 2025-07: 解决方案工程师 -> 2026-03: 测试开发工程师,7,2026-02,123,2024-12: AIGC算法工程师; 多模态算法工程师; 计算机视觉算法工程师 -> 2025-01: AI产品经理 -> 2025-02: 大模型算法工程师 -> 2025-05: 大模型应用工程师; 音视频工程师 -> 2025-07: 解决方案工程师 -> 2025-08: 前端开发工程师 -> 2026-02: 后端开发工程师; 测试开发工程师,2026-08-08T05:27:55+00:00
AIops,系统与运维,new,2,2024-12,信息安全工程师; 运维工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,1,5,3,通信工程师; C++开发工程师; 网络工程师,信息安全工程师; 运维工程师; 通信工程师; C++开发工程师; 网络工程师,2025-01,运维工程师,1,2,1,信息安全工程师,2025-01: 运维工程师 -> 2025-12: 信息安全工程师,2,2026-05,24,2024-12: 信息安全工程师; 运维工程师 -> 2025-07: 通信工程师 -> 2025-11: C++开发工程师 -> 2026-05: 网络工程师,2026-08-08T05:27:55+00:00
AI基础设施,AI,new,2,2024-12,AI Infra工程师; 系统软件工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,3,8,6,大模型算法工程师; DevOps工程师; 云计算工程师; 后端开发工程师; 软件架构师; 解决方案工程师,AI Infra工程师; 系统软件工程师; 大模型算法工程师; DevOps工程师; 云计算工程师; 后端开发工程师; 软件架构师; 解决方案工程师,2024-12,AI Infra工程师,1,5,4,系统软件工程师; DevOps工程师; 云计算工程师; 大模型算法工程师,2024-12: AI Infra工程师 -> 2025-01: 系统软件工程师 -> 2025-03: DevOps工程师; 云计算工程师 -> 2026-06: 大模型算法工程师,5,2026-06,86,2024-12: AI Infra工程师; 系统软件工程师 -> 2025-01: 大模型算法工程师 -> 2025-02: DevOps工程师; 云计算工程师 -> 2025-07: 后端开发工程师 -> 2025-08: 软件架构师 -> 2026-02: 解决方案工程师,2026-08-08T05:27:55+00:00
AI安全,安全,new,2,2024-12,大模型测试工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,4,8,7,AI安全工程师; 信息安全工程师; 大模型算法工程师; 网络安全工程师; AI产品经理; AI Agent算法工程师; 解决方案工程师,大模型测试工程师; AI安全工程师; 信息安全工程师; 大模型算法工程师; 网络安全工程师; AI产品经理; AI Agent算法工程师; 解决方案工程师,2025-01,大模型测试工程师,1,5,4,AI安全工程师; 信息安全工程师; AI产品经理; 网络安全工程师,2025-01: 大模型测试工程师 -> 2025-02: AI安全工程师; 信息安全工程师 -> 2025-05: AI产品经理; 网络安全工程师,6,2025-06,99,2024-12: 大模型测试工程师 -> 2025-01: AI安全工程师; 信息安全工程师 -> 2025-02: 大模型算法工程师 -> 2025-03: 网络安全工程师 -> 2025-05: AI产品经理 -> 2025-06: AI Agent算法工程师 -> 2025-11: 解决方案工程师,2026-08-08T05:27:55+00:00
AI工作流设计,AI,new,2,2025-01,AI Agent应用工程师; 大模型应用工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,5,9,7,AI产品经理; 软件架构师; 后端开发工程师; 全栈开发工程师; 测试开发工程师; 解决方案工程师; 前端开发工程师,AI Agent应用工程师; 大模型应用工程师; AI产品经理; 软件架构师; 后端开发工程师; 全栈开发工程师; 测试开发工程师; 解决方案工程师; 前端开发工程师,2025-02,AI Agent应用工程师; 大模型应用工程师,2,5,3,软件架构师; AI产品经理; 全栈开发工程师,2025-02: AI Agent应用工程师; 大模型应用工程师 -> 2025-03: 软件架构师 -> 2025-04: AI产品经理 -> 2025-09: 全栈开发工程师,6,2026-02,89,2025-01: AI Agent应用工程师; 大模型应用工程师 -> 2025-03: AI产品经理; 软件架构师 -> 2025-07: 后端开发工程师 -> 2025-08: 全栈开发工程师; 测试开发工程师 -> 2026-01: 解决方案工程师 -> 2026-02: 前端开发工程师,2026-08-08T05:27:55+00:00
AI工具,大模型,new,2,2025-05,客户端开发工程师,1,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,1,6,5,芯片验证工程师; 软件开发工程师; 网络安全工程师; 驱动开发工程师; 嵌入式软件工程师,客户端开发工程师; 芯片验证工程师; 软件开发工程师; 网络安全工程师; 驱动开发工程师; 嵌入式软件工程师,2026-04,芯片验证工程师,1,2,1,网络安全工程师,2026-04: 芯片验证工程师 -> 2026-07: 网络安全工程师,2,2026-05,9,2025-05: 客户端开发工程师 -> 2025-09: 芯片验证工程师 -> 2025-11: 软件开发工程师 -> 2025-12: 网络安全工程师; 驱动开发工程师 -> 2026-05: 嵌入式软件工程师,2026-08-08T05:27:55+00:00
AI应用开发,AI,new,2,2024-12,大模型应用工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,4,10,9,AI应用工程师; 后端开发工程师; AI Agent应用工程师; 软件开发工程师; AI产品经理; 前端开发工程师; 全栈开发工程师; 测试开发工程师; 解决方案工程师,大模型应用工程师; AI应用工程师; 后端开发工程师; AI Agent应用工程师; 软件开发工程师; AI产品经理; 前端开发工程师; 全栈开发工程师; 测试开发工程师; 解决方案工程师,2025-01,AI应用工程师; 大模型应用工程师,2,4,2,AI产品经理; 全栈开发工程师,2025-01: AI应用工程师; 大模型应用工程师 -> 2025-07: AI产品经理 -> 2025-09: 全栈开发工程师,5,2026-02,75,2024-12: 大模型应用工程师 -> 2025-01: AI应用工程师; 后端开发工程师 -> 2025-02: AI Agent应用工程师; 软件开发工程师 -> 2025-06: AI产品经理 -> 2025-07: 前端开发工程师 -> 2025-08: 全栈开发工程师 -> 2026-01: 测试开发工程师 -> 2026-02: 解决方案工程师,2026-08-08T05:27:55+00:00
AI测试,AI,new,2,2025-01,大模型测试工程师; 测试开发工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,3,9,7,AI安全工程师; 大模型应用工程师; 测试工程师; 质量工程师; AI产品经理; 解决方案工程师; 后端开发工程师,大模型测试工程师; 测试开发工程师; AI安全工程师; 大模型应用工程师; 测试工程师; 质量工程师; AI产品经理; 解决方案工程师; 后端开发工程师,2025-01,测试开发工程师,1,6,5,AI安全工程师; 大模型测试工程师; 测试工程师; AI产品经理; 质量工程师,2025-01: 测试开发工程师 -> 2025-02: AI安全工程师; 大模型测试工程师 -> 2025-07: 测试工程师 -> 2025-09: AI产品经理 -> 2025-10: 质量工程师,6,2025-12,94,2025-01: 大模型测试工程师; 测试开发工程师 -> 2025-02: AI安全工程师; 大模型应用工程师 -> 2025-06: 测试工程师; 质量工程师 -> 2025-08: AI产品经理 -> 2026-02: 解决方案工程师 -> 2026-03: 后端开发工程师,2026-08-08T05:27:55+00:00
AI算法,AI,new,2,2024-12,AI产品经理; 解决方案工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,4,10,8,iOS开发工程师; 测试工程师; 硬件工程师; 驱动开发工程师; 芯片验证工程师; 数据分析师; 前端开发工程师; 大模型应用工程师,AI产品经理; 解决方案工程师; iOS开发工程师; 测试工程师; 硬件工程师; 驱动开发工程师; 芯片验证工程师; 数据分析师; 前端开发工程师; 大模型应用工程师,2024-12,解决方案工程师,1,5,4,AI产品经理; 数据分析师; 大模型应用工程师; 驱动开发工程师,2024-12: 解决方案工程师 -> 2025-01: AI产品经理 -> 2026-06: 数据分析师 -> 2026-07: 大模型应用工程师; 驱动开发工程师,4,2026-07,44,2024-12: AI产品经理; 解决方案工程师 -> 2025-05: iOS开发工程师 -> 2025-06: 测试工程师; 硬件工程师 -> 2026-02: 驱动开发工程师 -> 2026-04: 芯片验证工程师 -> 2026-05: 数据分析师 -> 2026-07: 前端开发工程师; 大模型应用工程师,2026-08-08T05:27:55+00:00
AI芯片,硬件与芯片,new,2,2025-05,硬件工程师,1,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-02,2,3,2,通信工程师; C++开发工程师,硬件工程师; 通信工程师; C++开发工程师,2025-08,硬件工程师,1,2,1,C++开发工程师,2025-08: 硬件工程师 -> 2026-02: C++开发工程师,2,2026-02,7,2025-05: 硬件工程师 -> 2025-07: 通信工程师 -> 2025-09: C++开发工程师,2026-08-08T05:27:55+00:00
