"standard_job_title","standard_category","match_keywords"
"政府信息化建设与管理岗","政务信息化","信息化建设|信息化管理|政务信息管理|数字化建设|数字政府|信息系统规划|信息技术规划|信息技术管理|政务信息化|智慧海关"
"政府信息系统开发岗","政务软件与系统","系统开发|软件开发|应用开发|程序开发|软件设计|信息系统开发|平台开发"
"政府信息系统运维岗","政务软件与系统","系统维护|系统运维|运行维护|设备维护|服务器|机房|系统保障|技术维护"
"政府网络与通信运维岗","网络与基础设施","网络维护|网络运维|网络管理|网络设备|网络建设|通信网络|通信保障|无线电"
"政府网络与数据安全岗","网络与安全","网络安全|信息安全|数据安全|网络空间安全|密码|保密|安全运维|安全管理|攻防"
"政府数据治理与统计分析岗","数据与统计","数据治理|数据管理|数据分析|数据处理|数据开发|大数据|统计分析|统计调查|统计信息"
"政府电子数据取证与情报技术岗","政法信息技术","电子数据|数据取证|网络侦查|技术侦查|情报技术|信息化侦查|网络犯罪"
"政府警务信息技术保障岗","政法信息技术","计算机维护|计算机相关工作|警务信息化|智慧警务|智慧缉私|公安信息化"
"政府信息化审计岗","政务信息化","信息化审计|信息技术审计|审计信息化|信息系统审计"
"政府数字监管与科技执法岗","政务信息化","电子信息化类|科技管理|科技监管|技术监管|网络监管|信息化监管|风险防控"
"政府智能化与自动化技术岗","智能化技术","人工智能|智能化|自动化|机器人|智能系统|算法应用"
"政府通信电子技术岗","通信与电子技术","通信工程|电子信息|电子工程|信号|无线通信|通信技术"
"政府地理信息与空间数据技术岗","空间信息技术","地理信息|GIS|遥感|空间数据|卫星|测绘信息化"
"政府通用计算机技术岗","通用计算机技术","计算机类|计算机科学与技术|软件工程|网络工程|信息安全|数据科学与大数据技术|计算机应用"
"政府人工智能专利审查与技术监管岗","科技监管与知识产权","人工智能|大数据|专利审查|技术审查|知识产权|专利分析|技术监管"
