normalized_skill,kg_display_skill,skill_type,standard_categories,standard_jobs,first_seen_month,last_seen_month,first_seen_job_id,last_seen_job_id,mention_count,source_job_ids,source_count,sources,updated_at
AIGC,AI,new,AI算法; 算法; 多媒体; 软件研发; 测试质量; AI安全; 技术支持; AI应用; 安全; AI基础设施,多模态算法工程师; 广告算法工程师; 图形图像工程师; AI Agent算法工程师; C++开发工程师; Android开发工程师; 后端开发工程师; 全栈开发工程师; 质量工程师; 客户端开发工程师; AI安全工程师; 控制算法工程师; iOS开发工程师; 计算机视觉算法工程师; 推荐算法工程师; 搜索算法工程师; 技术支持工程师; 大模型应用工程师; 安全工程师; Go开发工程师; NLP算法工程师; 音视频工程师; Java开发工程师; AI Infra工程师; 大模型测试工程师; 大模型算法工程师; 算法研究员; AI应用工程师; 算法工程师,2024-12,2026-07,GEN000254,GEN002039,152,GEN000254; GEN000255; GEN000343; GEN000517; GEN002013; GEN000256; GEN000257; GEN000658; GEN000979; GEN001085; GEN000259; GEN000746; GEN000878; GEN000928; GEN001043; GEN000168; GEN000261; GEN000663; GEN001992; GEN002021; GEN000262; GEN001139; GEN000265; GEN000266; GEN000355; GEN000356; GEN000443; GEN000490; GEN000884; GEN000886; GEN001875; GEN001993; GEN001994; GEN000197; GEN000312; GEN001017; GEN001018; GEN001144; GEN001995; GEN001996; GEN000270; GEN000359; GEN000668; GEN000890; GEN000891; GEN001019; GEN001997; GEN001998; GEN000175; GEN000274; GEN000318; GEN000361; GEN000671; GEN001052; GEN001101; GEN001104; GEN000276; GEN000277; GEN000364; GEN000534; GEN000897; GEN000899; GEN001021; GEN002001; GEN000205; GEN000278; GEN000323; GEN000324; GEN000366; GEN000459; GEN000496; GEN000539; GEN000776; GEN001110; GEN001152; GEN000461; GEN000462; GEN000781; GEN002031; GEN000370; GEN000466; GEN000675; GEN000782; GEN000784; GEN000785; GEN000906; GEN000956; GEN001028; GEN001064; GEN001157; GEN001158; GEN001159; GEN000284; GEN000285; GEN000287; GEN000329; GEN000372; GEN000468; GEN000469; GEN000501; GEN000788; GEN000792; GEN000911; GEN002004; GEN002033; GEN000176; GEN000208; GEN000289; GEN000471; GEN000504; GEN000678; GEN000961; GEN000964; GEN002005; GEN000177; GEN000336; GEN000377; GEN000507; GEN000547; GEN000680; GEN000797; GEN000914; GEN000915; GEN000966; GEN001033; GEN001163; GEN000508; GEN000801; GEN000804; GEN000805; GEN000917; GEN001124; GEN001126; GEN001166; GEN001885; GEN002037; GEN000380; GEN000476; GEN000511; GEN000986; GEN001127; GEN001168; GEN000214; GEN000382; GEN000513; GEN000682; GEN000810; GEN000811; GEN001038; GEN001076; GEN001172; GEN002039,152,base_event_stream,2026-07-24T06:07:21+00:00
AIops,系统与运维,new,软件研发; 基础设施; 通信; AI算法; 产品; 测试质量; 数据; 安全; AI应用; 技术支持; AI基础设施,Android开发工程师; 网络工程师; 运维工程师; 通信工程师; 机器学习算法工程师; AI产品经理; 测试开发工程师; 数据工程师; 信息安全工程师; 数据库工程师; 软件架构师; AI应用工程师; 数据开发工程师; 测试工程师; 解决方案工程师; AI Infra工程师; 大模型应用工程师; 算法工程师,2024-12,2026-07,GEN001078,GEN001825,84,GEN001078; GEN001079; GEN001081; GEN001802; GEN001085; GEN001661; GEN001662; GEN002060; GEN000599; GEN001087; GEN001088; GEN002307; GEN001089; GEN001554; GEN001805; GEN002063; GEN000603; GEN001092; GEN001668; GEN002310; GEN001093; GEN001769; GEN001806; GEN001832; GEN000606; GEN001096; GEN002314; GEN000610; GEN001098; GEN000611; GEN000612; GEN001102; GEN001566; GEN001770; GEN001836; GEN002071; GEN002317; GEN001105; GEN001286; GEN002075; GEN001288; GEN001289; GEN001838; GEN001291; GEN001573; GEN001674; GEN001772; GEN001815; GEN001840; GEN000620; GEN001292; GEN001675; GEN001676; GEN002325; GEN001294; GEN001576; GEN002327; GEN000627; GEN001296; GEN001679; GEN001681; GEN001842; GEN000103; GEN000630; GEN002331; GEN000106; GEN000108; GEN000109; GEN000633; GEN001300; GEN001683; GEN002091; GEN000111; GEN000112; GEN000634; GEN000636; GEN001685; GEN001687; GEN001823; GEN001845; GEN002094; GEN000113; GEN000114; GEN001825,84,base_event_stream,2026-07-24T06:07:21+00:00
AI基础设施,AI,new,数据; 软件研发; 测试质量; 基础设施,数据平台工程师; 驱动开发工程师; 测试工程师; 软件开发工程师; 服务器工程师; 数据库工程师,2025-05,2026-07,GEN001831,GEN001847,10,GEN001831; GEN001251; GEN001837; GEN001259; GEN001264; GEN001265; GEN001844; GEN001863; GEN001864; GEN001847,10,base_event_stream,2026-07-24T06:07:21+00:00
AI安全,安全,new,软件研发; 安全; AI安全; AI应用; 硬件; 芯片,后端开发工程师; 网络安全工程师; AI安全工程师; 前端开发工程师; AI应用工程师; 硬件工程师; 安全工程师; 芯片设计工程师; AI Agent应用工程师; 大模型应用工程师,2025-01,2026-07,GEN000057,GEN001799,30,GEN000057; GEN001737; GEN000166; GEN000167; GEN001739; GEN000125; GEN001778; GEN001779; GEN000128; GEN001745; GEN001746; GEN001747; GEN001782; GEN001749; GEN001784; GEN001785; GEN001750; GEN001786; GEN001788; GEN001789; GEN001791; GEN000142; GEN001792; GEN000105; GEN001760; GEN001796; GEN001763; GEN001797; GEN001764; GEN001799,30,base_event_stream,2026-07-24T06:07:21+00:00
AI工作流设计,AI,new,AI算法; AI应用; 软件研发; 多媒体; 数据; AI基础设施,大模型算法工程师; AI应用工程师; 前端开发工程师; 音视频工程师; 系统软件工程师; 嵌入式软件工程师; 多模态算法工程师; AI Agent应用工程师; 大数据开发工程师; 语音算法工程师; C++开发工程师; 数据开发工程师; AI Infra工程师,2024-12,2026-06,GEN000001,GEN001387,29,GEN000001; GEN000116; GEN000003; GEN000121; GEN001182; GEN001368; GEN000007; GEN000122; GEN000008; GEN001186; GEN001188; GEN001189; GEN001191; GEN001372; GEN000014; GEN000130; GEN000201; GEN001374; GEN000020; GEN000021; GEN000985; GEN001381; GEN001383; GEN001205; GEN001206; GEN000150; GEN000212; GEN000048; GEN001387,29,base_event_stream,2026-07-24T06:07:21+00:00
AI工具,大模型,new,软件研发; 数据; 芯片; AI应用; 测试质量; 机器人; 基础设施; AI安全,客户端开发工程师; 嵌入式软件工程师; 驱动开发工程师; 数据工程师; 芯片验证工程师; 后端开发工程师; AI应用工程师; 质量工程师; 前端开发工程师; 软件开发工程师; iOS开发工程师; 机器人软件工程师; 数据开发工程师; 运维工程师; 大模型应用工程师; 数据分析师; AI安全工程师,2024-12,2026-07,GEN001041,GEN001620,66,GEN001041; GEN001212; GEN001215; GEN001233; GEN001234; GEN001445; GEN002151; GEN000744; GEN000747; GEN001237; GEN002154; GEN001600; GEN002157; GEN000754; GEN000825; GEN001601; GEN001244; GEN001245; GEN001047; GEN001048; GEN001246; GEN001248; GEN000767; GEN001052; GEN002162; GEN000836; GEN001054; GEN001222; GEN001251; GEN001252; GEN001608; GEN001253; GEN001254; GEN000781; GEN001061; GEN001224; GEN001610; GEN001674; GEN000783; GEN000786; GEN002163; GEN001257; GEN002164; GEN000793; GEN001679; GEN001070; GEN001071; GEN001261; GEN001471; GEN002167; GEN000802; GEN000861; GEN001263; GEN001682; GEN001684; GEN000808; GEN000865; GEN000867; GEN001227; GEN001619; GEN002170; GEN001076; GEN001268; GEN001477; GEN001478; GEN001620,66,base_event_stream,2026-07-24T06:07:21+00:00
AI应用开发,AI,new,AI算法; 软件研发; 算法; 安全; 机器人; 数据; 芯片; 基础设施; 硬件; 测试质量; 多媒体; 产品,计算机视觉算法工程师; 系统软件工程师; 广告算法工程师; 软件开发工程师; 安全工程师; 机器人软件工程师; 数据平台工程师; Java开发工程师; 芯片设计工程师; 客户端开发工程师; 运维工程师; 云计算工程师; 网络安全工程师; Android开发工程师; 硬件工程师; 大数据开发工程师; 测试开发工程师; 数据仓库工程师; 图形图像工程师; AI产品经理,2024-12,2026-07,GEN000342,GEN002334,51,GEN000342; GEN001173; GEN000520; GEN001313; GEN001315; GEN001317; GEN001776; GEN001184; GEN001322; GEN000356; GEN000935; GEN001190; GEN000527; GEN001045; GEN001328; GEN000529; GEN000530; GEN001332; GEN001335; GEN001565; GEN001336; GEN001057; GEN001059; GEN001340; GEN000954; GEN001343; GEN000370; GEN000955; GEN001346; GEN001347; GEN001577; GEN002328; GEN000545; GEN001349; GEN001350; GEN001352; GEN000965; GEN000968; GEN001353; GEN001355; GEN001584; GEN001357; GEN001359; GEN001796; GEN000969; GEN001797; GEN001798; GEN000552; GEN001365; GEN001800; GEN002334,51,base_event_stream,2026-07-24T06:07:21+00:00
AI测试,AI,new,测试质量; AI安全; AI算法; 芯片,质量工程师; AI安全工程师; 测试开发工程师; 语音算法工程师; 芯片验证工程师; 大模型测试工程师,2025-01,2026-07,GEN001594,GEN001591,27,GEN001594; GEN001595; GEN001596; GEN001550; GEN001551; GEN001556; GEN001561; GEN001562; GEN001563; GEN001605; GEN001566; GEN001607; GEN001568; GEN001573; GEN001574; GEN001611; GEN001576; GEN001612; GEN001579; GEN001613; GEN001582; GEN001584; GEN001586; GEN001617; GEN001588; GEN001590; GEN001591,27,base_event_stream,2026-07-24T06:07:21+00:00
AI算法,AI,new,软件研发; 基础设施; 测试质量; 芯片; 硬件; AI应用; 数据; 机器人; 技术支持; 算法; AI算法,C++开发工程师; 服务器工程师; 测试工程师; 云计算工程师; 芯片验证工程师; 热设计工程师; 大模型应用工程师; 驱动开发工程师; 硬件工程师; 数据平台工程师; 机器人软件工程师; AI应用工程师; 解决方案工程师; 后端开发工程师; 数据分析师; 广告算法工程师; AI Agent应用工程师; 数据工程师; 前端开发工程师; iOS开发工程师; 大模型算法工程师; 算法工程师; 大模型测试工程师,2024-12,2026-07,GEN000975,GEN001940,76,GEN000975; GEN001132; GEN001621; GEN001623; GEN001696; GEN002152; GEN002268; GEN000067; GEN001239; GEN002155; GEN002271; GEN001624; GEN002273; GEN001243; GEN001707; GEN001625; GEN001626; GEN001709; GEN001246; GEN001247; GEN001627; GEN001710; GEN001711; GEN002278; GEN001250; GEN001904; GEN002280; GEN002281; GEN002282; GEN000087; GEN001456; GEN001908; GEN002286; GEN000541; GEN000542; GEN000094; GEN001462; GEN002288; GEN000543; GEN000851; GEN001464; GEN001722; GEN001723; GEN001923; GEN002164; GEN000101; GEN000545; GEN001259; GEN001260; GEN001532; GEN002165; GEN002291; GEN002292; GEN000104; GEN000858; GEN001163; GEN001469; GEN001536; GEN001727; GEN000106; GEN000108; GEN000109; GEN001538; GEN001933; GEN001934; GEN002298; GEN001267; GEN001476; GEN001541; GEN002170; GEN002299; GEN001477; GEN001544; GEN001731; GEN001939; GEN001940,76,base_event_stream,2026-07-24T06:07:21+00:00
AI芯片,硬件与芯片,new,硬件; 自动驾驶; AI算法,硬件工程师; 自动驾驶算法工程师; 机器学习算法工程师; 大模型算法工程师; 算法工程师,2024-12,2026-07,GEN002261,GEN002301,15,GEN002261; GEN000187; GEN002263; GEN000595; GEN000191; GEN002282; GEN000616; GEN002287; GEN002289; GEN002291; GEN002292; GEN000632; GEN000213; GEN002300; GEN002301,15,base_event_stream,2026-07-24T06:07:21+00:00
